GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_2053: Owner-occupied private non-farm, non-reserve dwellings","v_CA06_2049: Tenant-occupied private non-farm, non-reserve dwellings"
4620886.02,CT,Longueuil,2.12771,3229,1264,1249,885.00,360.00
4620886.03,CT,Longueuil,2.12396,3324,1507,1465,560.00,900.00
4620887.03,CT,Boucherville,11.40719,3762,1313,1300,1285.00,20.00
4620887.04,CT,Boucherville,1.95817,5306,2356,2320,1635.00,685.00
4620887.05,CT,Boucherville,1.99002,4954,1887,1874,1650.00,225.00
4620887.06,CT,Boucherville,1.79543,4620,1665,1655,1615.00,45.00
4620887.07,CT,Boucherville,9.94916,25,13,11,x,x
4620888.00,CT,Boucherville,34.97889,10164,3601,3508,3460.00,50.00
4620889.01,CT,Boucherville,1.39435,2849,1288,1259,560.00,710.00
4620889.02,CT,Boucherville,4.01683,2713,1108,1100,835.00,260.00
4620889.03,CT,Boucherville,3.34048,4669,1948,1919,1670.00,250.00
4620900.00,CT,Beloeil,2.63101,4673,2015,1969,1350.00,620.00
4620901.01,CT,Beloeil,2.51229,5107,2226,2175,1240.00,940.00
4620901.02,CT,Beloeil,1.79486,4607,1759,1740,1520.00,225.00
4620901.03,CT,Beloeil,18.31561,4540,1626,1577,1485.00,90.00
4620902.00,CT,McMasterville,3.39759,5234,2109,2066,1490.00,575.00
4620903.01,CT,Sainte-Julie,10.0578,6804,2786,2715,1970.00,740.00
4620903.04,CT,Sainte-Julie,1.41298,4261,1517,1502,1315.00,195.00
4620903.05,CT,Sainte-Julie,1.14023,3859,1406,1386,1285.00,100.00
4620903.06,CT,Sainte-Julie,5.80572,9360,3103,3074,2870.00,205.00
4620903.07,CT,Saint-Mathieu-de-Beloeil,70.55324,4152,1444,1430,1270.00,135.00
4620903.08,CT,Sainte-Julie,0.74706,2931,1036,1027,800.00,230.00
4620903.09,CT,Saint-Amable,13.80005,4400,1565,1542,1340.00,200.00
4620903.10,CT,Saint-Amable,22.94794,3998,1489,1445,1160.00,265.00
4620904.02,CT,Varennes,16.87158,4230,1822,1784,1005.00,780.00
4620904.03,CT,Varennes,71.66359,4867,1830,1807,1470.00,325.00
4620904.04,CT,Varennes,1.35111,3804,1282,1277,1160.00,115.00
4620904.05,CT,Varennes,1.35433,3609,1329,1317,1115.00,200.00
4620904.06,CT,Varennes,1.17942,4440,1448,1434,1410.00,25.00
4620926.01,CT,Richelieu,32.53325,5208,2122,2068,1355.00,685.00
4620926.02,CT,Saint-Mathias-sur-Richelieu,50.13108,4506,1815,1764,1445.00,315.00
4620929.00,CT,Otterburn Park,5.63161,8464,3140,3090,2670.00,420.00
4620930.02,CT,Mont-Saint-Hilaire,16.59067,6512,2861,2771,2205.00,560.00
4620930.03,CT,Mont-Saint-Hilaire,7.60067,2769,972,948,940.00,10.00
4620930.04,CT,Mont-Saint-Hilaire,21.50766,6439,2492,2445,1900.00,540.00
4621000.00,CT,L'Épiphanie,2.34252,4606,1791,1751,1065.00,685.00
4621001.00,CT,L'Épiphanie,54.73951,3129,1161,1131,920.00,190.00
4621002.00,CT,Verchères,72.98573,5243,2162,2114,1545.00,540.00
4621003.00,CT,Coteau-du-Lac,47.4452,6346,2407,2340,1885.00,450.00
4621004.00,CT,Les Coteaux,11.72082,3764,1509,1475,1095.00,375.00
4621005.00,CT,Saint-Zotique,25.19623,5251,2267,2130,1820.00,310.00
