GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA06_1234: Total population 15 to 24 years by highest certificate, diploma or degree - 20% sample data","v_CA06_1248: Total population 25 to 64 years by highest certificate, diploma or degree - 20% sample data",v_CA06_1242: University certificate or degree,"v_CA06_1262: Total population 65 years and over by highest certificate, diploma or degree - 20% sample data",v_CA06_1270: University certificate or degree
4620290.03,CT,Montréal,0.63693,4248,1720,1680,535.00,2460.00,15.00,455.00,10.00
4620290.04,CT,Montréal,2.83154,6511,2260,2204,950.00,3625.00,45.00,575.00,10.00
4620290.05,CT,Montréal,2.16205,6229,3093,3041,530.00,2265.00,45.00,2335.00,170.00
4620290.06,CT,Montréal,0.92327,5984,2045,1998,970.00,3285.00,10.00,665.00,10.00
4620290.07,CT,Montréal,0.5907,3736,1385,1357,485.00,2100.00,30.00,365.00,15.00
4620290.08,CT,Montréal,1.09944,4336,1505,1481,645.00,2475.00,10.00,475.00,25.00
4620290.09,CT,Montréal,1.10713,5243,1797,1763,785.00,2725.00,20.00,730.00,50.00
4620291.01,CT,Montréal,0.97519,3384,1106,1093,585.00,1825.00,35.00,320.00,10.00
4620291.02,CT,Montréal,10.14471,7894,2386,2334,1005.00,4165.00,40.00,330.00,15.00
4620300.00,CT,Montréal,0.51991,2729,1353,1253,295.00,1605.00,55.00,220.00,15.00
4620301.00,CT,Montréal,0.4199,5000,2650,2536,600.00,3175.00,110.00,580.00,70.00
4620302.00,CT,Montréal,0.20659,3009,1594,1501,380.00,1885.00,20.00,265.00,15.00
4620303.00,CT,Montréal,0.26092,2290,1223,1153,335.00,1385.00,20.00,245.00,10.00
4620304.00,CT,Montréal,0.26846,2941,1651,1581,330.00,1755.00,20.00,445.00,25.00
4620305.00,CT,Montréal,0.35228,3923,2187,2087,450.00,2510.00,20.00,490.00,40.00
4620306.00,CT,Montréal,0.22414,3215,1673,1580,490.00,1880.00,55.00,420.00,10.00
4620307.00,CT,Montréal,0.17936,3438,1715,1632,535.00,2085.00,70.00,265.00,10.00
4620308.00,CT,Montréal,0.17762,2765,1429,1373,385.00,1640.00,35.00,325.00,0.00
4620309.00,CT,Montréal,0.18829,1321,635,599,185.00,755.00,0.00,190.00,0.00
4620310.00,CT,Montréal,0.4405,3478,1695,1631,385.00,1950.00,50.00,620.00,20.00
4620311.00,CT,Montréal,0.35056,4214,2109,2031,515.00,2360.00,45.00,540.00,0.00
4620312.00,CT,Montréal,0.3083,3309,1710,1644,340.00,1900.00,50.00,585.00,20.00
4620313.00,CT,Montréal,0.40419,3239,1611,1522,375.00,1825.00,30.00,540.00,35.00
4620314.00,CT,Montréal,0.26226,2551,1240,1203,275.00,1440.00,10.00,505.00,10.00
4620315.00,CT,Montréal,0.80381,246,3,3,-,-,-,-,-
4620316.00,CT,Montréal,0.57494,2200,862,844,165.00,1120.00,10.00,315.00,55.00
4620317.01,CT,Montréal,2.47978,10118,5464,4996,780.00,6670.00,85.00,1060.00,445.00
4620317.02,CT,Montréal,1.31571,6092,3451,3178,500.00,3515.00,80.00,1370.00,550.00
4620320.00,CT,Montréal,0.67732,4581,2227,2152,525.00,2575.00,20.00,840.00,60.00
4620321.00,CT,Montréal,1.08767,2879,1459,1394,305.00,1660.00,15.00,490.00,20.00
4620322.02,CT,Montréal,0.77835,3872,1751,1693,465.00,2110.00,45.00,665.00,40.00
4620322.03,CT,Montréal,0.70883,4692,2482,2407,375.00,2465.00,45.00,1280.00,65.00
4620322.04,CT,Montréal,0.4535,3586,1812,1733,300.00,1670.00,10.00,1050.00,60.00
4620323.00,CT,Montréal,0.62039,3113,1399,1347,305.00,1555.00,0.00,485.00,10.00
4620324.01,CT,Montréal,0.70155,4540,2084,1974,520.00,2535.00,20.00,685.00,80.00
4620324.02,CT,Montréal,0.66072,2864,1207,1155,390.00,1645.00,15.00,330.00,0.00
4620325.01,CT,Montréal,0.39023,3749,1506,1464,485.00,2070.00,15.00,535.00,0.00
4620325.02,CT,Montréal,0.97267,6515,3007,2886,775.00,3475.00,25.00,1150.00,30.00
4620325.03,CT,Montréal,0.47762,3636,1558,1510,390.00,1975.00,35.00,630.00,10.00
4620325.04,CT,Montréal,1.69466,8959,4418,4156,975.00,5250.00,90.00,1675.00,105.00
4620326.01,CT,Montréal,2.52626,2849,1194,1151,345.00,1580.00,15.00,430.00,10.00
4620326.02,CT,Montréal,1.08333,3428,1690,1614,375.00,1985.00,30.00,545.00,15.00
4620326.03,CT,Montréal,1.31744,4964,2008,1930,540.00,2765.00,20.00,735.00,25.00
4620327.00,CT,Montréal,1.0984,4828,2182,2103,640.00,2715.00,30.00,635.00,25.00
4620328.00,CT,Montréal,0.43758,1971,863,835,250.00,1055.00,10.00,205.00,0.00
4620329.00,CT,Montréal,0.62602,3737,1828,1721,425.00,2200.00,10.00,435.00,10.00
4620330.00,CT,Montréal,2.02485,4851,2267,2154,695.00,2755.00,20.00,495.00,10.00
4620340.00,CT,Montréal-Ouest,1.40681,5184,1928,1858,745.00,2730.00,75.00,660.00,255.00
4620350.00,CT,Westmount,0.55558,2714,1330,1216,290.00,1250.00,15.00,490.00,165.00
4620351.00,CT,Westmount,0.46034,5131,3053,2730,610.00,2360.00,115.00,1635.00,615.00
4620352.00,CT,Westmount,0.48668,2891,1352,1246,290.00,1460.00,30.00,510.00,255.00
4620353.00,CT,Westmount,0.40699,2970,1248,1167,430.00,1510.00,60.00,460.00,280.00
4620354.00,CT,Westmount,0.81395,3187,1047,1010,455.00,1620.00,75.00,405.00,290.00
4620355.00,CT,Westmount,0.30728,1573,687,645,255.00,795.00,85.00,285.00,150.00
4620356.00,CT,Westmount,0.99616,2028,701,663,345.00,1040.00,60.00,280.00,175.00
4620360.00,CT,Montréal,1.43358,2001,686,656,280.00,1050.00,15.00,295.00,200.00
4620361.00,CT,Montréal,0.12611,1539,826,762,155.00,840.00,25.00,245.00,90.00
4620362.00,CT,Montréal,0.53347,2513,898,848,455.00,1215.00,105.00,285.00,125.00
4620363.00,CT,Montréal,0.37302,4764,2308,2119,570.00,2210.00,65.00,995.00,385.00
4620364.00,CT,Montréal,0.23792,2699,1059,1004,400.00,1350.00,50.00,175.00,10.00
4620365.00,CT,Montréal,0.24877,2656,1323,1246,305.00,1650.00,25.00,235.00,80.00
4620366.00,CT,Montréal,0.34354,2508,1073,1020,350.00,1365.00,60.00,305.00,135.00
4620367.00,CT,Montréal,0.56686,4217,2185,2070,495.00,2270.00,100.00,790.00,225.00
4620370.00,CT,Hampstead,1.79014,6996,2639,2518,930.00,3520.00,125.00,1060.00,405.00
4620380.00,CT,Côte-Saint-Luc,0.7617,3988,1880,1796,445.00,1840.00,70.00,1075.00,205.00
4620381.00,CT,Côte-Saint-Luc,0.58865,5957,2685,2550,615.00,2925.00,30.00,1125.00,190.00
4620382.01,CT,Côte-Saint-Luc,0.57855,3701,1778,1644,335.00,1440.00,65.00,1280.00,195.00
4620382.02,CT,Côte-Saint-Luc,1.56269,4496,1597,1548,670.00,2215.00,75.00,720.00,225.00
4620383.01,CT,Côte-Saint-Luc,1.72776,3386,1096,1067,350.00,1350.00,55.00,605.00,180.00
4620383.02,CT,Côte-Saint-Luc,1.50147,7402,3858,3555,645.00,3035.00,110.00,2760.00,430.00
4620385.00,CT,Côte-Saint-Luc,0.03823,1458,1002,951,115.00,635.00,10.00,665.00,175.00
4620390.00,CT,Montréal,1.02592,1267,669,630,145.00,835.00,0.00,135.00,10.00
4620391.00,CT,Montréal,0.31606,1809,910,855,190.00,915.00,25.00,290.00,35.00
4620392.00,CT,Montréal,0.43666,1476,775,689,165.00,900.00,0.00,160.00,10.00
4620393.00,CT,Montréal,1.04249,5497,2600,2484,645.00,3020.00,0.00,795.00,10.00
4620394.00,CT,Montréal,1.35015,3943,1959,1858,520.00,2375.00,35.00,440.00,10.00
4620395.01,CT,Montréal,7.61868,2225,1245,918,220.00,1160.00,0.00,305.00,60.00
4620395.02,CT,Montréal,0.68907,6388,2899,2746,775.00,3505.00,70.00,855.00,45.00
4620395.03,CT,Montréal,0.60185,4238,2307,2207,385.00,2555.00,30.00,660.00,80.00
4620396.00,CT,Montréal,1.47163,5865,2829,2718,605.00,3310.00,50.00,990.00,120.00
4620397.00,CT,Montréal,1.18211,3832,1449,1425,495.00,2040.00,45.00,530.00,85.00
4620400.00,CT,Mont-Royal,1.38144,4687,1857,1767,585.00,2440.00,140.00,745.00,265.00
4620401.00,CT,Mont-Royal,0.97071,3017,1303,1234,380.00,1570.00,65.00,500.00,220.00
4620402.00,CT,Mont-Royal,2.54361,1226,472,456,145.00,580.00,20.00,255.00,95.00
