GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620139.00,CT,Montréal,0.227462310594559,2740,1449,1420,104389,505,2390,630
4620140.00,CT,Montréal,0.127528550820112,1453,760,755,114308,599,1310,545
4620141.00,CT,Montréal,0.115413430486202,1553,836,820,141390,564,1395,515
4620142.00,CT,Montréal,0.106245289783955,1563,911,900,136907,494,1435,480
4620143.00,CT,Montréal,0.171505865762234,2355,1511,1485,130612,543,2180,685
4620144.00,CT,Montréal,0.179985177348137,3312,2045,1980,130221,544,3050,1295
4620145.00,CT,Montréal,0.44296694021225,0,0,0,x,x,x,x
4620146.00,CT,Montréal,0.145773961802483,2356,1470,1450,107423,504,2110,590
4620147.00,CT,Montréal,0.165800210403442,2623,1537,1525,109085,536,2340,635
4620148.00,CT,Montréal,0.143642334650487,1246,456,455,126141,609,805,255
4620149.00,CT,Montréal,0.139064757073879,3264,1891,1865,97594,585,3000,840
4620150.00,CT,Montréal,0.164949517510951,2320,1266,1255,103893,494,1915,390
4620151.00,CT,Montréal,0.117115040198088,2129,1098,1095,122399,514,1810,465
4620152.00,CT,Montréal,0.135771508312464,1550,844,840,99130,531,1365,350
4620153.00,CT,Montréal,0.273119220123291,819,450,445,102853,433,680,95
4620154.00,CT,Montréal,0.131588970396996,583,349,345,105688,476,535,95
4620155.00,CT,Montréal,0.106931691399693,1910,1050,1045,125807,513,1600,325
4620156.00,CT,Montréal,0.138413165759802,2034,1109,1105,89155,481,1800,395
4620157.00,CT,Montréal,0.161962738350391,2045,1097,1090,157313,560,1815,640
4620158.00,CT,Montréal,0.144314356456757,1977,1261,1240,111993,464,1810,485
4620159.00,CT,Montréal,0.125742110041916,1861,1016,1010,128025,570,1605,555
4620160.00,CT,Montréal,0.120758938647747,1613,991,970,104037,498,1530,395
4620161.00,CT,Montréal,0.139428926946878,1706,856,855,120489,543,1385,380
4620162.00,CT,Montréal,0.0945023336325884,1458,822,810,102984,552,1335,460
4620163.00,CT,Montréal,0.204852809429169,3287,1443,1420,152281,577,2880,975
4620164.00,CT,Montréal,0.0668577529910803,1548,965,940,147791,575,1410,630
4620165.00,CT,Montréal,0.163922072988749,2279,1101,1075,166919,551,1895,600
4620166.00,CT,Montréal,0.238714581001878,379,165,165,123438,583,305,55
4620167.00,CT,Montréal,0.201583163191318,2511,1170,1160,127400,503,2095,525
4620168.00,CT,Montréal,0.171485763635814,2547,993,985,147042,560,2005,505
4620169.00,CT,Montréal,0.146077085088968,2371,1019,1010,136942,599,2020,615
4620170.00,CT,Montréal,0.154695995113671,2395,1035,1025,145969,531,2005,455
4620171.00,CT,Montréal,0.479672430398345,3875,2019,1985,121652,464,3295,875
4620172.00,CT,Montréal,0.194956340799361,1739,1235,1185,94270,465,1650,580
4620173.00,CT,Montréal,0.179312162094951,1620,968,950,119541,497,1505,455
4620174.00,CT,Montréal,0.233160765410185,1588,910,905,115833,492,1425,400
4620175.00,CT,Montréal,0.109103164538383,1609,885,880,117436,532,1415,480
4620176.00,CT,Montréal,0.1221287783674,1584,904,900,131292,501,1420,505
4620177.00,CT,Montréal,0.096740894656539,1224,696,690,101673,539,1060,230
4620178.00,CT,Montréal,0.279383636566341,2438,1369,1345,148247,500,2125,620
4620179.00,CT,Montréal,0.504921349275112,3730,2037,2025,115536,471,3180,330
4620180.00,CT,Montréal,0.264338123749971,3551,1769,1765,116122,460,2930,320
4620181.00,CT,Montréal,0.321601632593274,3814,1860,1855,113586,495,3125,315
4620182.00,CT,Montréal,0.138445817242146,2218,1105,1100,113369,492,1840,245
4620183.00,CT,Montréal,0.132706546858549,2264,1161,1155,104128,454,1955,240
4620184.00,CT,Montréal,0.218297596806362,3024,1476,1470,131549,529,2525,260
4620185.00,CT,Montréal,0.390676267185926,5171,2724,2710,118946,470,4425,560
4620186.00,CT,Montréal,0.381077082810342,4490,2240,2230,114420,489,3795,305
4620187.01,CT,Montréal,0.356573868487358,2444,1216,1205,115347,452,1945,330
4620187.02,CT,Montréal,1.13582335028535,6678,3405,3395,96727,531,5680,1045
4620188.01,CT,Montréal,0.146171203832388,1918,1021,1020,125539,457,1670,195
