GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1681: Average value of dwelling $,v_CA1996_1701: Average gross rent $,v_CA1996_1347: Total population 15 years and over by highest level of schooling,v_CA1996_1360: With bachelor's degree or higher
4620781.00,CT,Saint-Jérôme,2.28039424602646,5067,2688,2645,76571,487,4330,150
4620782.00,CT,Saint-Jérôme,2.59787405976629,3101,1422,1420,84005,490,2500,115
4620783.00,CT,Saint-Jérôme,5.04823083496833,4472,2059,2050,90880,495,3630,230
4620784.00,CT,Saint-Jérôme,1.16160004995251,3815,1859,1850,79166,442,3170,40
4620785.00,CT,Saint-Jérôme,3.51941538312316,3848,1722,1710,89067,473,3075,180
4620786.00,CT,Saint-Antoine,3.35709213350333,5116,1898,1895,87285,456,3825,165
4620787.00,CT,Saint-Antoine,6.5505109369316,5690,2197,2190,90655,514,4425,350
4620788.00,CT,Lafontaine,2.17723609405264,4564,1958,1950,100323,496,3610,195
4620789.00,CT,Lafontaine,13.2170356191269,4444,1540,1540,108113,521,3455,305
4620790.00,CT,Bellefeuille,15.0871855014178,4094,1604,1565,98179,473,3090,155
4620791.00,CT,Bellefeuille,4.26121399981962,4937,1719,1715,105788,496,3670,470
4620792.00,CT,Bellefeuille,31.680927332305,3772,1331,1325,89345,486,2815,125
4620800.00,CT,Châteauguay,5.18973989754319,7712,2861,2860,90121,486,6140,520
4620801.00,CT,Châteauguay,2.6248916241675,7288,2631,2630,88627,517,5670,445
4620802.00,CT,Châteauguay,5.76830815904588,3793,1340,1340,81705,481,2805,180
4620804.00,CT,Châteauguay,12.7545391555,7397,2618,2615,95444,499,5605,550
4620805.00,CT,Châteauguay,3.21059776864475,7164,2606,2605,84854,486,5685,455
4620806.01,CT,Châteauguay,1.61627231610104,3235,1193,1190,84245,531,2575,110
4620806.02,CT,Châteauguay,4.85564396136462,4834,1566,1565,87491,593,3725,205
4620807.00,CT,Mercier,46.6580235245284,9059,3068,3065,102914,529,6815,555
4620825.01,CT,Brossard,12.7778174362761,6310,2082,2080,106804,622,5105,915
4620825.02,CT,Brossard,0.948943865749121,4348,1516,1500,105317,521,3500,515
4620825.03,CT,Brossard,1.33013106911087,5412,2169,2165,110781,548,4330,325
4620825.04,CT,Brossard,1.75952422324413,5572,1948,1940,94533,573,4595,685
4620825.05,CT,Brossard,1.70948031019542,4945,1881,1870,113530,516,4055,590
4620826.01,CT,Brossard,2.64506660533881,8192,2679,2675,127711,596,6555,1310
4620826.02,CT,Brossard,1.69885064839023,5102,1726,1725,128870,802,4320,1035
4620826.03,CT,Brossard,5.38743152858335,14889,4415,4410,191465,888,11880,3600
4620826.04,CT,Brossard,16.4182904283106,8589,2960,2955,137301,716,6840,1580
4620827.01,CT,La Prairie,39.9389796399321,10065,3323,3320,118418,591,7550,1425
4620827.02,CT,La Prairie,3.30400004182652,7063,3031,3025,102024,518,5710,645
4620828.01,CT,Candiac,5.84563599600542,7563,2833,2835,100573,559,5965,1000
4620828.02,CT,Candiac,11.6089450381902,4242,1287,1285,172898,806,3305,1075
4620829.00,CT,Delson,7.24683177254349,6703,2298,2295,93801,503,5175,280
4620830.00,CT,Sainte-Catherine,10.1572879174375,13724,4854,4850,93430,541,10175,720
4620831.01,CT,Saint-Constant,5.87609628742027,14372,4742,4740,100167,551,10520,785
4620831.02,CT,Saint-Constant,51.5307865762966,7561,2440,2440,95871,495,5580,390
4620832.00,CT,Kahnawake 14,51.3381551943366,0,0,0,x,x,x,x
4620833.00,CT,Saint-Philippe,93.2629041892452,5581,1970,1970,83641,472,4320,195
4620834.00,CT,Saint-Isidore,52.3434449111145,2401,823,820,92839,453,1850,75
4620850.01,CT,Chambly,4.21873607263511,5637,1837,1840,100862,597,4035,440
4620850.02,CT,Chambly,17.6416663589194,9325,3301,3295,97422,555,6815,785
4620851.00,CT,4620851.00,3.32392447462058,4754,1960,1960,121938,541,3685,525
4620852.01,CT,Carignan,55.0321632183336,4881,1644,1640,133691,415,3745,440
4620852.02,CT,Carignan,8.14966319393144,733,284,280,103549,476,590,20
4620853.01,CT,Saint-Basile-le-Grand,16.0205992433864,8015,2582,2580,104695,560,6020,720
4620853.02,CT,Saint-Basile-le-Grand,20.013095927763,3756,1356,1355,102855,565,2850,320
4620854.01,CT,Saint-Bruno-de-Montarville,2.85588494182406,5623,1860,1855,176032,713,4610,1630
4620854.02,CT,Saint-Bruno-de-Montarville,20.2736474102496,5999,1940,1930,142657,540,4770,1100
4620855.01,CT,Saint-Bruno-de-Montarville,7.86358720095084,5384,1789,1785,117311,606,4215,905
4620855.02,CT,Saint-Bruno-de-Montarville,12.1366075628634,6708,2719,2705,143094,578,5465,1025
4620856.00,CT,Saint-Hubert,15.9448852123199,2027,692,685,82767,601,1440,150
4620857.01,CT,Saint-Hubert,1.5059383890577,5421,1886,1885,99231,487,4235,335
4620857.02,CT,Saint-Hubert,1.17235758587913,4639,1560,1555,100508,548,3620,160
4620857.03,CT,Saint-Hubert,11.5482510500252,11773,3826,3825,105420,494,8555,1005
4620857.04,CT,Saint-Hubert,12.7806719718704,10528,3662,3660,108373,585,7935,940
4620857.05,CT,Saint-Hubert,3.22871656301314,7630,2563,2560,93409,550,5905,500
4620858.01,CT,Saint-Hubert,1.49691649105006,5062,1649,1645,89137,455,4020,220
4620858.02,CT,Saint-Hubert,1.16729939816475,4338,1476,1475,91509,520,3410,170
4620858.03,CT,Saint-Hubert,12.7830950482184,7457,2311,2310,98958,688,5735,565
4620859.00,CT,Brossard,0.741517078415155,2568,917,935,93068,528,2120,125
4620860.01,CT,Greenfield Park,1.68592552145201,6697,2189,2190,98513,555,5215,605
4620860.02,CT,Greenfield Park,1.19894918852663,4222,1559,1555,110031,557,3335,335
4620861.00,CT,Greenfield Park,1.90825100602186,6418,2939,2925,109121,503,5315,840
4620862.00,CT,Saint-Lambert,2.24883799516552,6972,3435,3435,162466,790,6200,2190
4620863.01,CT,Saint-Lambert,1.42012524360381,3595,1543,1540,198420,621,3035,1070
4620863.02,CT,Saint-Lambert,1.90706148834035,5024,2642,2630,170835,593,4145,1115
4620864.00,CT,Saint-Lambert,2.00347946972013,5380,2152,2145,176494,578,4400,1920
4620865.00,CT,LeMoyne,0.43437184858048,1771,865,860,138681,475,1505,80
4620866.00,CT,LeMoyne,0.464825983772993,3281,1639,1630,119643,472,2715,195
4620867.00,CT,Saint-Hubert,1.50294672025466,6161,2752,2745,94492,496,4950,405
4620868.01,CT,Saint-Hubert,1.56323970743722,6213,2095,2095,102740,516,4910,235
4620868.02,CT,Saint-Hubert,1.19916629090451,5793,2269,2265,95608,518,4590,105
4620869.00,CT,Longueuil,1.05574449812984,3398,1225,1225,97932,703,2765,325
4620870.01,CT,Longueuil,1.04004258069497,4144,1548,1545,110980,530,3115,170
4620870.02,CT,Longueuil,0.600686599244282,2358,998,990,107696,474,2005,195
4620871.01,CT,Longueuil,0.734933014745235,4043,1740,1740,105013,496,3360,200
4620871.02,CT,Longueuil,0.474192847533047,2204,795,785,110773,533,1840,195
4620872.00,CT,Longueuil,1.744079539572,6585,2696,2690,102008,512,5220,290
4620873.01,CT,Longueuil,0.422247165277302,4547,1853,1850,98586,507,3495,130
4620873.02,CT,Longueuil,0.658203132591546,4734,2066,2055,101296,506,3700,180
4620874.00,CT,Longueuil,0.851958653327763,5148,2132,2125,106444,503,4065,225
4620875.00,CT,Longueuil,0.725282517229915,5045,2417,2395,103025,483,4160,320
4620876.01,CT,Longueuil,0.743943200948715,3821,1523,1520,130895,498,2940,155
4620876.02,CT,Longueuil,7.22117605637109,11637,3972,3965,118769,528,8985,1665
4620876.03,CT,Longueuil,1.93801204107501,7194,2612,2600,116633,538,5485,625
4620877.00,CT,Longueuil,6.69723981714642,9732,3823,3810,145078,549,7785,1815
4620878.00,CT,Longueuil,1.06909737473816,5350,2496,2475,100123,489,4535,260
4620879.01,CT,Longueuil,0.622921775819242,3155,1511,1510,105575,521,2680,175
4620879.02,CT,Longueuil,0.771353926147819,3974,1939,1920,120065,500,3395,625
4620880.00,CT,Longueuil,0.905415118672162,4118,1994,1985,112125,488,3515,385
4620881.01,CT,Longueuil,0.550732261947244,3577,1657,1650,99166,456,2975,250
4620881.02,CT,Longueuil,0.624522045044795,3774,1758,1750,98554,474,3150,170
4620882.00,CT,Longueuil,0.733989190719247,2736,1286,1285,105186,471,2335,200
4620883.00,CT,Longueuil,0.975552281977832,2435,1200,1190,99616,472,2105,265
4620884.01,CT,Longueuil,0.714260937719822,2971,1553,1515,147218,653,2725,580
4620884.02,CT,Longueuil,1.8548237756846,7195,4141,4115,134851,538,6500,1390
4620885.00,CT,Longueuil,1.57686353848141,3781,1796,1755,145941,592,3170,720
4620886.00,CT,Longueuil,8.79800463266337,10321,4157,4150,134475,549,7955,1800
4620887.01,CT,Boucherville,14.3805195319722,9736,3596,3590,133620,607,7985,1885
4620887.02,CT,Boucherville,13.7433627581276,7499,2497,2490,150920,558,5945,1480
4620888.00,CT,Boucherville,34.7241882133331,7170,2201,2200,161126,488,5410,1185
4620889.01,CT,Boucherville,1.39962049948376,2881,1204,1200,114006,501,2295,245
4620889.02,CT,Boucherville,4.02659272179222,2930,1056,1055,127741,545,2395,350
4620889.03,CT,Boucherville,3.4227912786842,4773,1797,1795,124888,551,4020,760
4620900.00,CT,Beloeil,2.18724152997255,4939,1955,1945,108489,554,3985,565
4620901.01,CT,Beloeil,2.43808802083689,4725,1866,1865,105084,572,3725,370
4620901.02,CT,Beloeil,1.59391293962544,4873,1675,1670,100489,487,3795,520
4620901.03,CT,Beloeil,17.9769829383669,4757,1462,1465,108879,519,3615,465
4620902.00,CT,McMasterville,3.09876395628852,3813,1352,1350,90725,496,2920,145
4620903.01,CT,Sainte-Julie,21.4901040214683,7445,2701,2690,136005,587,5930,1325
4620903.02,CT,Sainte-Julie,8.48094645096537,12653,4137,4135,107301,612,9400,1110
4620903.03,CT,Saint-Amable,96.7924388570014,13180,4300,4300,105267,507,9560,560
4620904.01,CT,Varennes,75.4972525195287,15166,4948,4945,115780,560,10750,1395
4620904.02,CT,Varennes,16.7070921941658,3676,1496,1485,124833,508,2865,275
4620926.00,CT,Richelieu,82.3672576990449,8725,3172,3165,102051,519,6655,580
4620929.00,CT,Otterburn Park,5.37581332566771,7320,2591,2585,106643,680,5415,825
4620930.01,CT,Mont-Saint-Hilaire,28.6843712789556,7852,2890,2890,154064,546,6315,1555
4620930.02,CT,Mont-Saint-Hilaire,15.862223256338,5212,1993,1990,113752,551,4150,565
