GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA16_4890: Total - Owner households in non-farm, non-reserve private dwellings - 25% sample data","v_CA16_4897: Total - Tenant households in non-farm, non-reserve private dwellings - 25% sample data"
4620231.00,CT,Montréal,0.10348,1688,926,876,270,600
4620232.00,CT,Montréal,0.36448,3737,2250,2059,955,1080
4620233.00,CT,Montréal,0.10389,2017,1246,1162,180,990
4620234.00,CT,Montréal,0.14931,2188,1306,1245,265,965
4620235.00,CT,Montréal,0.11671,1972,1068,1034,280,770
4620236.00,CT,Montréal,0.10767,1761,1020,954,235,710
4620237.00,CT,Montréal,0.21807,3435,1819,1740,605,1115
4620238.00,CT,Montréal,0.16311,2358,1295,1216,335,880
4620239.00,CT,Montréal,0.542,4696,2616,2484,605,1900
4620240.00,CT,Montréal,0.30761,3226,1651,1546,360,1185
4620241.00,CT,Montréal,0.20605,2914,1456,1340,335,1005
4620242.00,CT,Montréal,0.37045,6261,3250,3017,650,2365
4620243.00,CT,Montréal,0.25486,3946,1909,1808,395,1375
4620244.00,CT,Montréal,0.1757,2142,1128,1086,235,875
4620245.00,CT,Montréal,0.21965,2886,1639,1562,410,1160
4620247.00,CT,Montréal,0.19313,2239,1255,1182,380,795
4620249.00,CT,Montréal,0.53013,4194,2279,2139,785,1335
4620250.00,CT,Montréal,0.44836,4052,2050,1899,740,1180
4620251.01,CT,Montréal,0.47497,3822,1613,1529,450,1095
4620251.02,CT,Montréal,0.23632,2723,1312,1238,345,885
4620252.00,CT,Montréal,0.32544,5258,2458,2275,655,1625
4620253.00,CT,Montréal,0.45824,3436,1582,1443,595,875
4620254.00,CT,Montréal,0.61394,4069,1934,1836,740,1070
4620256.00,CT,Montréal,1.84271,3772,1628,1465,510,925
4620257.00,CT,Montréal,1.3299,4520,1785,1657,425,1255
4620258.00,CT,Montréal,0.39571,5162,1892,1802,320,1460
4620259.00,CT,Montréal,0.37073,5969,2545,2321,375,1945
4620260.00,CT,Montréal,0.54225,2312,893,836,255,575
4620261.00,CT,Montréal,0.62944,2713,1168,1070,330,750
4620262.00,CT,Montréal,0.76792,4525,1889,1717,655,1095
4620263.00,CT,Montréal,0.75229,4085,1848,1713,580,1130
4620264.01,CT,Montréal,1.22449,5530,2433,2330,830,1445
4620264.02,CT,Montréal,0.91236,5249,2685,2591,1495,1100
4620265.00,CT,Montréal,0.48326,4565,2376,2213,805,1420
4620266.00,CT,Montréal,0.75334,3357,1794,1682,430,1230
4620267.00,CT,Montréal,1.12593,6334,2883,2666,1130,1535
4620268.01,CT,Montréal,0.58122,6777,3262,3137,1415,1755
4620268.02,CT,Montréal,0.3028,5598,2254,2151,1000,1120
4620268.03,CT,Montréal,1.28194,0,0,0,x,x
4620269.00,CT,Montréal,0.77174,4137,2098,1921,420,1500
4620270.00,CT,Montréal,0.67896,4529,2548,2403,880,1530
4620271.00,CT,Montréal,0.47804,3454,1693,1613,945,720
4620272.00,CT,Montréal,0.50441,3796,1911,1841,610,1250
4620273.00,CT,Montréal,0.56934,4661,2411,2195,750,1420
4620274.00,CT,Montréal,0.4793,3014,1454,1357,440,895
4620275.00,CT,Montréal,0.62073,4011,2180,1996,670,1340
4620276.00,CT,Montréal,0.88645,5112,2726,2529,805,1720
4620277.00,CT,Montréal,0.55929,4410,2101,1936,570,1355
4620278.00,CT,Montréal,0.58961,4343,2209,2100,750,1360
4620279.00,CT,Montréal,0.93859,5261,2646,2500,825,1730
4620280.00,CT,Montréal,0.59058,4494,2268,2085,775,1240
4620281.00,CT,Montréal,1.08507,3914,1530,1459,850,625
4620282.00,CT,Montréal,1.31655,7032,2904,2737,1120,1620
4620283.01,CT,Montréal,0.60842,3663,1428,1356,760,600
4620283.02,CT,Montréal,0.46944,2853,1276,1208,495,680
4620284.00,CT,Montréal,0.58222,3467,1654,1559,695,895
4620285.00,CT,Montréal,1.51,6577,2401,2260,1020,1240
4620286.00,CT,Montréal,0.79127,5305,2110,1961,750,1215
4620287.01,CT,Montréal,0.53658,6641,3354,3056,600,2455
4620287.02,CT,Montréal,1.10686,4642,1840,1739,920,840
4620288.00,CT,Montréal,1.88659,1519,415,404,380,0
4620290.01,CT,Montréal,1.20408,2655,1021,1001,715,280
4620290.02,CT,Montréal,1.79948,5738,2283,2227,1470,760
4620290.03,CT,Montréal,0.639,4171,1778,1734,950,790
4620290.04,CT,Montréal,2.83385,6889,2538,2445,1730,715
4620290.05,CT,Montréal,2.22083,5100,2450,2357,1105,1255
4620290.06,CT,Montréal,0.89611,5381,2059,1982,1280,705
4620290.07,CT,Montréal,0.58268,4121,1595,1573,870,710
4620290.08,CT,Montréal,1.12896,4076,1551,1494,1240,250
4620290.09,CT,Montréal,1.11203,4910,1804,1757,1350,410
4620291.01,CT,Montréal,0.98179,3923,1393,1367,1110,250
4620291.03,CT,Montréal,6.99894,5352,1798,1785,1485,295
4620291.04,CT,Montréal,3.20584,5230,1476,1469,1355,120
4620300.00,CT,Montréal,0.51658,2699,1372,1261,215,1030
4620301.00,CT,Montréal,0.41938,5005,2776,2627,965,1675
4620302.00,CT,Montréal,0.20628,2926,1673,1537,400,1165
4620303.00,CT,Montréal,0.26353,2291,1355,1252,345,880
4620304.00,CT,Montréal,0.27106,3277,1857,1745,560,1210
4620305.00,CT,Montréal,0.35069,3762,2250,2083,755,1335
4620306.00,CT,Montréal,0.22301,2847,1635,1524,305,1195
4620307.00,CT,Montréal,0.17365,3079,1716,1567,220,1360
