GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA1996_1627: Median household income $
4620125.00,CT,Montréal,0.45885123535192,6334,2724,2670,38472
4620126.00,CT,Montréal,0.775996554021835,2167,1033,890,29106
4620127.01,CT,Montréal,0.48910970280239,5325,3414,3195,23841
4620127.02,CT,Montréal,1.25333777532434,31,19,0,x
4620128.00,CT,Montréal,3.01668794008872,3578,1876,1770,51418
4620129.01,CT,Montréal,0.278416912243247,3874,2587,2325,40845
4620129.02,CT,Montréal,0.356441627164602,4086,2785,2510,31456
4620130.00,CT,Montréal,0.152232364252746,3348,2551,2165,16143
4620131.00,CT,Montréal,0.102289026767552,3198,2434,2135,17963
4620132.00,CT,Montréal,0.266498854123682,4933,3355,3135,19704
4620133.00,CT,Montréal,0.144677642939985,2483,1475,1400,24034
4620134.00,CT,Montréal,0.0833692586202621,824,499,485,30864
4620135.00,CT,Montréal,0.117088525965929,1735,932,910,30806
4620136.00,CT,Montréal,0.179698501177549,2710,1377,1350,21018
4620137.00,CT,Montréal,0.186323091760635,1293,642,615,25405
4620138.00,CT,Montréal,0.292413986345947,1966,1001,970,24800
4620139.00,CT,Montréal,0.227462310594559,2740,1449,1420,21570
4620140.00,CT,Montréal,0.127528550820112,1453,760,755,38525
4620141.00,CT,Montréal,0.115413430486202,1553,836,820,31716
4620142.00,CT,Montréal,0.106245289783955,1563,911,900,24317
4620143.00,CT,Montréal,0.171505865762234,2355,1511,1485,21317
4620144.00,CT,Montréal,0.179985177348137,3312,2045,1980,25335
4620145.00,CT,Montréal,0.44296694021225,0,0,0,x
4620146.00,CT,Montréal,0.145773961802483,2356,1470,1450,21620
4620147.00,CT,Montréal,0.165800210403442,2623,1537,1525,30383
4620148.00,CT,Montréal,0.143642334650487,1246,456,455,34529
4620149.00,CT,Montréal,0.139064757073879,3264,1891,1865,29983
4620150.00,CT,Montréal,0.164949517510951,2320,1266,1255,21511
4620151.00,CT,Montréal,0.117115040198088,2129,1098,1095,23490
4620152.00,CT,Montréal,0.135771508312464,1550,844,840,27756
4620153.00,CT,Montréal,0.273119220123291,819,450,445,13699
4620154.00,CT,Montréal,0.131588970396996,583,349,345,24448
4620155.00,CT,Montréal,0.106931691399693,1910,1050,1045,26661
4620156.00,CT,Montréal,0.138413165759802,2034,1109,1105,27660
4620157.00,CT,Montréal,0.161962738350391,2045,1097,1090,33934
4620158.00,CT,Montréal,0.144314356456757,1977,1261,1240,23592
4620159.00,CT,Montréal,0.125742110041916,1861,1016,1010,35020
4620160.00,CT,Montréal,0.120758938647747,1613,991,970,21184
4620161.00,CT,Montréal,0.139428926946878,1706,856,855,22094
4620162.00,CT,Montréal,0.0945023336325884,1458,822,810,26715
4620163.00,CT,Montréal,0.204852809429169,3287,1443,1420,32576
4620164.00,CT,Montréal,0.0668577529910803,1548,965,940,29270
4620165.00,CT,Montréal,0.163922072988749,2279,1101,1075,20861
4620166.00,CT,Montréal,0.238714581001878,379,165,165,19542
4620167.00,CT,Montréal,0.201583163191318,2511,1170,1160,23552
4620168.00,CT,Montréal,0.171485763635814,2547,993,985,27604
4620169.00,CT,Montréal,0.146077085088968,2371,1019,1010,34897
4620170.00,CT,Montréal,0.154695995113671,2395,1035,1025,25548
4620171.00,CT,Montréal,0.479672430398345,3875,2019,1985,20171
4620172.00,CT,Montréal,0.194956340799361,1739,1235,1185,13459
4620173.00,CT,Montréal,0.179312162094951,1620,968,950,21074
4620174.00,CT,Montréal,0.233160765410185,1588,910,905,24197
4620175.00,CT,Montréal,0.109103164538383,1609,885,880,30977
4620176.00,CT,Montréal,0.1221287783674,1584,904,900,31592
4620177.00,CT,Montréal,0.096740894656539,1224,696,690,21172
4620178.00,CT,Montréal,0.279383636566341,2438,1369,1345,23061
4620179.00,CT,Montréal,0.504921349275112,3730,2037,2025,17375
4620180.00,CT,Montréal,0.264338123749971,3551,1769,1765,22388
4620181.00,CT,Montréal,0.321601632593274,3814,1860,1855,23632
4620182.00,CT,Montréal,0.138445817242146,2218,1105,1100,19699
4620183.00,CT,Montréal,0.132706546858549,2264,1161,1155,21606
4620184.00,CT,Montréal,0.218297596806362,3024,1476,1470,27687
4620185.00,CT,Montréal,0.390676267185926,5171,2724,2710,25010
4620186.00,CT,Montréal,0.381077082810342,4490,2240,2230,23741
4620187.01,CT,Montréal,0.356573868487358,2444,1216,1205,24431
4620187.02,CT,Montréal,1.13582335028535,6678,3405,3395,29407
4620188.01,CT,Montréal,0.146171203832388,1918,1021,1020,24923
4620188.02,CT,Montréal,0.223758518082857,2184,1219,1205,25255
4620189.00,CT,Montréal,1.54236980366099,0,0,0,x
4620190.01,CT,Montréal,0.455022476946592,3529,1788,1780,35788
4620190.02,CT,Montréal,1.03913121705088,3546,1848,1835,41735
4620191.00,CT,Montréal,1.67203890495129,6239,2955,2920,37288
4620192.00,CT,Montréal,0.780506238813043,2684,880,880,49476
4620193.00,CT,Montréal,0.271986182768241,2005,894,895,38209
4620194.00,CT,Montréal,1.16602968304861,5332,2146,2140,35568
4620195.01,CT,Montréal,0.577672149158359,3750,1649,1640,30952
4620195.02,CT,Montréal,0.60532654706502,5408,2373,2360,32897
4620195.03,CT,Montréal,0.91094082034874,5251,2270,2255,39082
4620196.00,CT,Montréal,0.396430071634531,3818,2053,2045,30358
4620197.00,CT,Montréal,0.625444945632935,4576,2311,2305,27521
4620198.00,CT,Montréal,0.67216073588109,4715,2450,2440,22439
4620199.00,CT,Montréal,0.224401796275467,2274,1210,1200,22739
4620200.00,CT,Montréal,0.31945413523984,3984,2023,2020,22405
4620201.00,CT,Montréal,0.92227026547569,6043,3110,3095,19308
4620202.00,CT,Montréal,0.613643250766993,4160,2270,2245,23661
4620203.00,CT,Montréal,0.23616682048583,2770,1493,1485,24927
4620204.00,CT,Montréal,0.235479371785879,2712,1443,1435,29704
4620205.00,CT,Montréal,0.175704477881432,2145,1166,1155,26435
4620206.00,CT,Montréal,0.230789589156866,2752,1417,1410,31468
4620207.00,CT,Montréal,0.256447383913279,3469,1721,1710,25353
4620208.00,CT,Montréal,0.203281122805119,2556,1274,1270,24800
4620209.00,CT,Montréal,0.668729315569162,5894,2822,2800,22195
4620210.00,CT,Montréal,0.344912620158911,3217,1802,1770,17166
4620211.00,CT,Montréal,0.179370174564123,2348,1219,1205,19097
4620212.00,CT,Montréal,0.194005281973839,2456,1276,1270,21292
4620213.00,CT,Montréal,0.19540987597847,2633,1320,1315,24318
4620214.00,CT,Montréal,0.24969612340489,2619,1311,1295,20293
4620215.00,CT,Montréal,0.23218101025939,2218,1142,1125,20404
4620216.00,CT,Montréal,0.321068405861616,2286,1145,1135,14485
4620217.00,CT,Montréal,0.157338718023598,2777,1307,1305,17149
4620218.00,CT,Montréal,0.276631112968087,3219,1512,1490,17426
4620219.00,CT,Montréal,0.302046089610219,2294,960,955,17553
4620220.00,CT,Montréal,0.396217546152592,5842,2310,2305,13060
4620221.00,CT,Montréal,0.320811865674049,6593,2611,2605,17258
4620222.00,CT,Montréal,0.200058078184009,3954,1475,1470,20228
4620223.01,CT,Montréal,0.147468610260367,4008,1446,1445,17915
4620223.02,CT,Montréal,0.199336426041126,3440,1235,1230,20402
4620224.00,CT,Montréal,0.370219942091465,6033,2256,2255,18925
4620225.00,CT,Montréal,0.661333148151696,1408,639,635,33363
4620226.00,CT,Montréal,0.251070145463705,3188,1549,1535,31366
4620227.00,CT,Montréal,0.118079789970875,1591,779,775,28690
4620228.00,CT,Montréal,0.114997091740131,1656,776,775,25333
4620229.00,CT,Montréal,0.479547134163857,0,0,0,x
4620230.00,CT,Montréal,0.113318871799827,1988,958,955,30223
4620231.00,CT,Montréal,0.10528503519845,1862,847,830,25902
4620232.00,CT,Montréal,0.372827933798552,2768,1282,1270,24519
4620233.00,CT,Montréal,0.109870756498933,2024,980,965,20818
4620234.00,CT,Montréal,0.147744983244181,2358,1159,1150,15850
4620235.00,CT,Montréal,0.116384839806318,1924,973,965,23803
4620236.00,CT,Montréal,0.110691498176157,1712,898,895,20243
4620237.00,CT,Montréal,0.226597161786437,3289,1558,1545,30412
4620238.00,CT,Montréal,0.16582126320672,2338,1225,1215,24063
4620239.00,CT,Montréal,0.551229982364893,4482,2423,2400,19849
4620240.00,CT,Montréal,0.295702020187825,2962,1374,1370,19411
4620241.00,CT,Montréal,0.208065698591352,2910,1303,1300,19752
4620242.00,CT,Montréal,0.37027475667882,6410,2944,2935,22332
4620243.00,CT,Montréal,0.252027496123314,4116,1747,1735,21333
4620244.00,CT,Montréal,0.177588548088551,2213,1059,1050,24064
4620245.00,CT,Montréal,0.215827912519693,2667,1405,1390,18799
4620247.00,CT,Montréal,0.196774813709497,2321,1157,1145,28141
4620249.00,CT,Montréal,0.528332594452858,4347,2074,2065,25222
4620250.00,CT,Montréal,0.448509078077853,3855,1773,1770,23092
4620251.01,CT,Montréal,0.459324114047289,3404,1475,1470,22636
4620251.02,CT,Montréal,0.250569075421631,2610,1131,1130,19067
4620252.00,CT,Montréal,0.32956085303092,4853,2152,2150,20351
4620253.00,CT,Montréal,0.458777684243679,2802,1100,1095,24401
4620254.00,CT,Montréal,0.682954266679943,3609,1611,1605,27468
4620256.00,CT,Montréal,1.85974599678957,3715,1336,1335,24381
4620257.00,CT,Montréal,1.33717448326898,4562,1610,1610,23721
4620258.00,CT,Montréal,0.405111502635002,4597,1610,1610,22450
4620259.00,CT,Montréal,0.35869678400749,5797,2147,2145,21659
