GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_4305: Total - Owner households in non-farm, non-reserve private dwellings","v_CA21_4313: Total - Tenant households in non-farm, non-reserve private dwellings"
4620652.01,CT,0652.01,2.9835,9150,3498,3305,2595,720
4620652.04,CT,0652.04,1.2708,4218,1544,1521,1320,235
4620652.06,CT,0652.06,2.1859,4020,1484,1462,1315,150
4620652.07,CT,0652.07,9.5705,9603,3426,3365,2850,500
4620652.08,CT,0652.08,1.4852,5115,1629,1610,1255,315
4620652.09,CT,0652.09,1.0378,4257,1317,1297,1010,275
4620653.00,CT,0653.00,0.6052,941,373,365,355,35
4620654.00,CT,0654.00,1.6777,879,386,352,330,40
4620655.01,CT,0655.01,1.4175,4328,1796,1743,1280,425
4620655.02,CT,0655.02,2.4811,6706,2557,2505,2005,505
4620656.01,CT,0656.01,6.1151,8223,3355,3254,2115,1125
4620656.03,CT,0656.03,3.7677,3826,1456,1430,1280,140
4620656.04,CT,0656.04,2.0442,7473,2377,2349,2190,160
4620657.01,CT,0657.01,1.8966,3659,1511,1473,1130,305
4620657.02,CT,0657.02,1.5404,5768,2162,2135,1740,430
4620657.03,CT,0657.03,1.7822,4354,1432,1416,1305,120
4620658.01,CT,0658.01,1.2428,4427,1729,1712,1440,285
4620658.02,CT,0658.02,0.9057,3198,1217,1203,1115,75
4620658.03,CT,0658.03,5.6464,8160,3079,3037,2485,540
4620659.04,CT,0659.04,6.0348,4910,1661,1645,1550,115
4620659.05,CT,0659.05,2.3698,7349,2762,2733,2335,395
4620659.06,CT,0659.06,1.7552,4134,1865,1820,1185,645
4620659.08,CT,0659.08,1.3794,6542,2369,2335,2005,330
4620659.09,CT,0659.09,0.8729,3587,987,981,940,40
4620659.10,CT,0659.10,1.0901,3594,1025,1019,965,30
4620659.11,CT,0659.11,2.4338,7292,2909,2827,1805,1025
4620660.01,CT,0660.01,2.0048,5373,1817,1804,1745,60
4620660.02,CT,0660.02,1.4115,5586,2215,2180,1565,615
4620660.03,CT,0660.03,2.0737,7456,2802,2768,2290,480
4620661.01,CT,0661.01,5.6006,9732,3632,3586,3075,495
4620661.03,CT,0661.03,19.1981,4457,1553,1525,1400,115
4620661.04,CT,0661.04,0.966,4604,1811,1788,1425,365
4620662.00,CT,0662.00,28.8102,4811,1900,1849,1575,245
4620675.00,CT,0675.00,3.8296,6365,3552,3468,1930,1535
4620676.01,CT,0676.01,1.5067,3640,1458,1430,1090,330
4620676.02,CT,0676.02,1.1278,2931,1135,1124,1075,65
4620676.03,CT,0676.03,1.1703,2341,932,925,900,25
4620676.04,CT,0676.04,1.5093,3303,1189,1178,1110,55
4620677.01,CT,0677.01,2.3856,6374,2707,2666,1735,930
4620677.02,CT,0677.02,2.1831,5271,2657,2608,1225,1375
4620677.05,CT,0677.05,1.9018,4998,1676,1660,1620,50
4620677.07,CT,0677.07,1.0102,3822,1626,1593,1165,410
4620677.09,CT,0677.09,1.2601,4342,1721,1702,1350,350
4620677.10,CT,0677.10,1.5563,4717,1896,1837,1515,320
4620677.11,CT,0677.11,1.4019,3913,1216,1202,1160,35
4620677.12,CT,0677.12,1.2801,4924,1577,1568,1305,265
4620677.13,CT,0677.13,1.6388,4071,1642,1627,1345,285
4620677.14,CT,0677.14,0.8575,3400,1152,1147,1095,65
4620681.00,CT,0681.00,36.172,3360,1517,1466,1150,315
4620682.02,CT,0682.02,11.9648,2742,1268,1215,695,515
4620682.04,CT,0682.04,1.0743,3353,1416,1380,1025,360
4620682.05,CT,0682.05,0.7704,2888,1140,1132,970,175
4620682.06,CT,0682.06,1.6048,5128,1788,1775,1625,135
4620682.07,CT,0682.07,16.9162,3307,1336,1327,1115,190
4620682.08,CT,0682.08,4.5673,4270,1626,1610,1240,375
4620683.00,CT,0683.00,2.1685,6302,3217,3149,1665,1485
4620684.05,CT,0684.05,3.9148,7000,2718,2678,2130,545
4620684.08,CT,0684.08,2.6826,5707,1953,1933,1785,170
4620684.09,CT,0684.09,10.7284,3436,1220,1205,1025,155
4620684.10,CT,0684.10,4.0787,4031,1578,1562,1170,400
4620684.11,CT,0684.11,3.6509,4495,1804,1789,1230,555
4620684.12,CT,0684.12,12.1287,3069,1553,1463,905,535
4620684.13,CT,0684.13,2.7745,6227,2054,2044,1975,65
4620684.14,CT,0684.14,2.0476,1895,787,768,525,275
4620685.02,CT,0685.02,56.5583,4167,1691,1663,1290,335
4620685.03,CT,0685.03,7.7132,6698,3374,3304,2195,1115
4620685.04,CT,0685.04,0.9034,3023,1141,1133,1010,115
4620685.05,CT,0685.05,2.7523,4492,1759,1737,1190,570
4620685.07,CT,0685.07,3.3763,5912,2071,2055,1810,270
4620685.09,CT,0685.09,1.1975,3667,1418,1406,855,555
4620685.10,CT,0685.10,1.3794,4595,2044,2018,1440,565
4620685.11,CT,0685.11,0.9335,2853,903,895,710,175
4620686.01,CT,0686.01,26.0883,7961,3031,2962,2285,670
4620686.02,CT,0686.02,3.9613,4161,1572,1542,1320,235
4620686.03,CT,0686.03,2.0298,3654,1286,1266,1085,165
4620687.01,CT,0687.01,3.1608,4482,1699,1673,1385,270
4620687.04,CT,0687.04,1.7384,4816,1841,1823,1465,380
4620687.06,CT,0687.06,2.6321,5482,2201,2169,1360,795
4620687.07,CT,0687.07,1.9904,6607,2371,2344,1965,380
4620687.09,CT,0687.09,20.4174,3526,1340,1312,1190,130
4620687.11,CT,0687.11,19.4833,3126,1204,1176,985,180
4620687.12,CT,0687.12,2.4791,6147,1975,1950,1785,175
4620687.13,CT,0687.13,4.9876,6136,2185,2133,1895,225
4620687.14,CT,0687.14,10.7237,6645,2492,2434,1800,650
4620688.02,CT,0688.02,89.6172,4136,1548,1497,995,470
4620688.03,CT,0688.03,2.0325,5572,2363,2319,1440,890
4620688.04,CT,0688.04,1.7953,5513,2094,2066,1560,505
