GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA21_5817: Total - Highest certificate, diploma or degree for the population aged 15 years and over in private households",v_CA21_5847: Bachelor's degree or higher,"v_CA21_5865: Total - Highest certificate, diploma or degree for the population aged 25 to 64 years in private households",v_CA21_5895: Bachelor's degree or higher
4620876.07,CT,0876.07,1.003,2536,1079,1047,1900,465,1110,395
4620877.01,CT,0877.01,5.0593,9316,4259,4185,7495,3215,4340,2455
4620877.02,CT,0877.02,1.4885,6294,2701,2631,4795,1575,2930,1245
4620878.00,CT,0878.00,1.0956,5457,2849,2733,4480,910,3005,805
4620879.01,CT,0879.01,0.6214,3471,1860,1788,2925,535,2065,480
4620879.02,CT,0879.02,0.7672,3838,2059,1960,3170,1290,2060,1030
4620880.00,CT,0880.00,0.9031,4166,2282,2184,3610,965,2405,800
4620881.01,CT,0881.01,0.5396,3576,1917,1822,3000,545,2100,480
4620881.02,CT,0881.02,0.6116,3801,1970,1869,3140,805,2255,750
4620882.00,CT,0882.00,0.698,2870,1459,1403,2350,515,1600,425
4620883.00,CT,0883.00,0.9969,2702,1480,1376,2180,730,1585,635
4620884.01,CT,0884.01,0.7252,3593,2059,1954,3140,1530,2100,1295
4620884.02,CT,0884.02,1.93,7584,4568,4359,6735,2285,3985,1670
4620885.00,CT,0885.00,1.6162,4052,1965,1876,3085,1160,1855,870
4620886.01,CT,0886.01,4.4044,3027,1536,1504,2625,740,1715,550
4620886.02,CT,0886.02,2.1162,2995,1281,1265,2455,990,1700,775
4620886.03,CT,0886.03,2.2993,3349,1696,1646,2735,600,1875,535
4620887.03,CT,0887.03,12.0469,3648,1341,1332,3010,1275,1760,910
4620887.04,CT,0887.04,1.9576,5120,2366,2302,4330,1605,2670,1235
4620887.05,CT,0887.05,1.9798,4640,1884,1867,3820,1475,2220,1075
4620887.06,CT,0887.06,1.7823,4384,1698,1685,3630,1655,2360,1385
4620887.07,CT,0887.07,9.9483,15,7,7,,,,
4620888.01,CT,0888.01,30.1833,3090,1371,1341,2605,1045,1740,855
4620888.02,CT,0888.02,2.3552,5443,2044,2035,4370,1990,2570,1550
4620888.03,CT,0888.03,2.1052,5245,2325,2123,4140,1980,2000,1365
4620889.01,CT,0889.01,1.3729,2562,1326,1284,2060,480,1240,365
4620889.02,CT,0889.02,3.9532,2944,1357,1338,2460,815,1465,620
4620889.03,CT,0889.03,3.3367,4652,2014,1977,3930,1305,2300,975
4620900.00,CT,0900.00,2.2382,4741,2200,2154,3895,785,2340,535
4620901.01,CT,0901.01,2.4359,4843,2357,2314,4150,675,2660,510
4620901.02,CT,0901.02,1.6572,4270,1783,1757,3400,695,2035,525
4620901.03,CT,0901.03,18.0459,10250,3998,3915,7725,2165,5110,1765
4620902.00,CT,0902.00,3.1176,5936,2459,2408,4455,850,3050,725
4620903.01,CT,0903.01,10.2323,6826,3002,2967,5680,1885,3460,1405
4620903.04,CT,0903.04,1.4183,4142,1640,1613,3345,640,2075,535
4620903.05,CT,0903.05,1.229,3753,1469,1454,3085,575,2055,510
4620903.08,CT,0903.08,0.826,2596,1026,1020,2015,395,1395,360
4620903.09,CT,0903.09,13.8711,6496,2623,2580,5090,450,3765,405
4620903.10,CT,0903.10,22.9002,6826,2567,2525,5210,530,3895,480
4620903.11,CT,0903.11,3.7558,3800,1281,1271,2970,975,2025,850
4620903.12,CT,0903.12,1.9378,6232,2446,2414,5170,1585,3395,1425
4620903.13,CT,0903.13,39.3941,2952,1197,1169,2435,480,1535,360
4620903.14,CT,0903.14,29.0926,2696,897,870,1865,380,1260,310
4620904.02,CT,0904.02,17.3913,5306,2231,2178,3980,830,2650,680
4620904.03,CT,0904.03,73.5298,4598,1848,1813,3750,965,2625,850
4620904.04,CT,0904.04,1.373,3541,1356,1342,2720,715,1870,620
4620904.05,CT,0904.05,1.338,3553,1559,1546,2905,475,1835,395
4620904.06,CT,0904.06,1.1665,4200,1544,1533,3525,880,2450,760
4620926.01,CT,0926.01,30.9643,5742,2506,2414,4510,820,2840,645
4620926.02,CT,0926.02,47.0229,4544,2022,1974,3820,550,2485,420
4620929.01,CT,0929.01,2.2698,3850,1624,1601,3090,940,2010,695
4620929.02,CT,0929.02,3.1029,4629,1757,1734,3765,890,2570,785
4620930.02,CT,0930.02,15.5905,9267,4071,4000,7405,2210,4735,1755
4620930.03,CT,0930.03,7.448,2577,981,971,2070,785,1250,540
4620930.04,CT,0930.04,21.0447,7015,2865,2795,5695,2160,3400,1560
4621000.00,CT,1000.00,2.2757,5575,2343,2286,4325,445,3005,375
4621001.00,CT,1001.00,54.2898,3308,1352,1297,2665,275,1880,210
4621002.00,CT,1002.00,72.6326,5759,2453,2394,4685,855,3005,655
4621003.00,CT,1003.00,46.8741,7473,3025,2928,5860,1015,3820,835
4621004.00,CT,1004.00,11.636,5643,2453,2411,4520,575,3105,475
4621005.00,CT,1005.00,25.0446,9618,4164,3990,7695,835,5120,665
4621006.01,CT,1006.01,78.2293,7524,3293,3143,6160,270,4040,200
4621006.02,CT,1006.02,34.6397,7154,2817,2725,5340,290,4010,250
4621006.03,CT,1006.03,5.4171,9352,3505,3421,6740,345,5155,285
4621009.00,CT,1009.00,80.0608,5453,2226,2165,4275,420,2950,335
4622001.00,CT,2001.00,7.9346,8546,3354,3282,6550,1105,4430,890
4622002.00,CT,2002.00,22.198,397,177,173,400,40,255,30
4622003.00,CT,2003.00,1.9655,0,1,1,,,,
4622004.00,CT,2004.00,1.1844,3062,1604,1511,2560,230,1675,200
4622005.00,CT,2005.00,1.1909,3752,2019,1941,3190,375,2000,280
4622006.00,CT,2006.00,0.4594,5,0,0,,,,
4622007.00,CT,2007.00,0.4355,1502,892,799,1145,170,810,135
4622008.00,CT,2008.00,0.4993,2545,1469,1376,2140,115,1490,90
4622009.00,CT,2009.00,1.8835,5466,2629,2568,4480,500,3050,405
4622010.00,CT,2010.00,3.5814,5,3,3,,,,
4622011.00,CT,2011.00,0.6246,2482,1308,1222,1790,130,1140,100
4622012.00,CT,2012.00,0.7199,1607,969,943,1450,215,710,120
4622013.00,CT,2013.00,1.7635,3972,1750,1708,3300,590,2020,410
