GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,NHS Non Return Rate,"v_CA11N_2281: Number of owner households in non-farm, non-reserve private dwellings","v_CA11N_2288: Number of tenant households in non-farm, non-reserve private dwellings"
4620638.01,CT,Laval,0.89728,5379,2589,2546,0.273,1120.0,1425.0
4620638.02,CT,Laval,0.45734,2021,871,832,0.259,640.0,190.0
4620638.03,CT,Laval,0.67598,4117,1886,1769,0.317,715.0,1055.0
4620638.04,CT,Laval,0.82859,6149,3107,2985,0.21600000000000003,520.0,2465.0
4620639.00,CT,Laval,1.34808,3960,1927,1834,0.322,765.0,1070.0
4620640.00,CT,Laval,0.80341,3719,1585,1517,0.259,770.0,745.0
4620641.01,CT,Laval,1.34336,7563,3492,3333,0.19,1225.0,2105.0
4620641.02,CT,Laval,1.31712,2937,1300,1219,0.228,970.0,255.0
4620642.00,CT,Laval,9.7037,7327,3184,3082,0.191,1715.0,1370.0
4620643.01,CT,Laval,3.11983,3667,1197,1164,0.131,990.0,175.0
4620643.02,CT,Laval,3.6491,4195,2526,2403,0.14800000000000002,1255.0,1145.0
4620643.03,CT,Laval,1.53986,5255,2497,2390,0.149,1050.0,1340.0
4620644.00,CT,Laval,1.46856,1237,521,506,0.17800000000000002,380.0,125.0
4620645.00,CT,Laval,1.55011,6596,2938,2740,0.233,675.0,2060.0
4620646.01,CT,Laval,0.51839,3523,1508,1415,0.317,480.0,935.0
4620646.02,CT,Laval,0.60712,3653,1644,1534,0.253,840.0,690.0
4620646.03,CT,Laval,0.50799,3203,1725,1631,0.46,695.0,935.0
4620647.01,CT,Laval,0.29594,2949,1971,1882,0.245,1150.0,730.0
4620647.02,CT,Laval,1.61688,6870,3207,2934,0.19399999999999998,1670.0,1265.0
4620648.00,CT,Laval,1.12824,5094,1925,1871,0.282,1365.0,505.0
4620649.01,CT,Laval,1.48923,2656,979,949,0.261,625.0,325.0
4620649.02,CT,Laval,1.30859,5414,2025,1972,0.133,1350.0,620.0
4620650.01,CT,Laval,0.75759,4412,1669,1569,0.233,1045.0,490.0
4620650.02,CT,Laval,0.72535,3936,1544,1425,0.342,760.0,695.0
4620650.03,CT,Laval,2.6683,10106,3866,3742,0.22399999999999998,1840.0,1895.0
4620651.01,CT,Laval,2.15187,6227,2268,2226,0.209,1840.0,390.0
4620651.02,CT,Laval,5.15361,6666,2206,2153,0.228,2035.0,115.0
4620652.01,CT,Laval,3.02715,7950,2867,2805,0.18600000000000003,2340.0,465.0
4620652.04,CT,Laval,1.25508,4203,1546,1528,0.248,1340.0,190.0
4620652.06,CT,Laval,2.17466,3891,1410,1390,0.22,1255.0,135.0
4620652.07,CT,Laval,9.62981,7973,2767,2700,0.256,2455.0,245.0
4620652.08,CT,Laval,1.47294,4843,1566,1531,0.23600000000000002,1295.0,210.0
4620652.09,CT,Laval,1.00423,4265,1309,1287,0.35700000000000004,985.0,335.0
4620653.00,CT,Laval,0.5773,1021,377,369,0.149,360.0,0.0
4620654.00,CT,Laval,1.68429,766,280,268,0.243,265.0,0.0
4620655.01,CT,Laval,1.45449,4228,1727,1675,0.272,1320.0,355.0
4620655.02,CT,Laval,2.48367,6518,2501,2435,0.262,1975.0,460.0
4620656.01,CT,Laval,6.15347,6937,2477,2421,0.251,2055.0,350.0
4620656.03,CT,Laval,3.734,3961,1465,1445,0.24100000000000002,1370.0,70.0
4620656.04,CT,Laval,2.05588,6298,2117,2055,0.191,1915.0,145.0
4620657.01,CT,Laval,1.88184,3633,1514,1481,0.20600000000000002,1120.0,360.0
4620657.02,CT,Laval,1.50617,5697,2158,2126,0.22699999999999998,1735.0,390.0
4620657.03,CT,Laval,1.77858,4542,1440,1434,0.14800000000000002,1340.0,100.0
4620658.01,CT,Laval,1.26628,4331,1720,1694,0.19699999999999998,1465.0,215.0
4620658.02,CT,Laval,0.8998,3162,1217,1207,0.18600000000000003,1115.0,105.0
4620658.03,CT,Laval,5.54718,7928,2961,2914,0.172,2530.0,375.0
