GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_737: Employed,v_CA01_738: Unemployed
4620172.00,CT,Montréal,0.2013,1947,1318,1275,1250,255
4620173.00,CT,Montréal,0.1857,1580,993,945,1025,85
4620174.00,CT,Montréal,0.2291,1586,966,945,1045,50
4620175.00,CT,Montréal,0.1094,1659,962,945,1080,60
4620176.00,CT,Montréal,0.1228,1564,941,915,1190,40
4620177.00,CT,Montréal,0.0991,1324,750,720,785,45
4620178.00,CT,Montréal,0.2806,2364,1431,1410,1525,135
4620179.00,CT,Montréal,0.4946,3667,2183,2040,1905,285
4620180.00,CT,Montréal,0.2635,3499,1942,1830,1800,190
4620181.00,CT,Montréal,0.3306,3688,2070,1905,1830,255
4620182.00,CT,Montréal,0.1397,2141,1183,1105,1095,115
4620183.00,CT,Montréal,0.1322,2294,1232,1200,1110,130
4620184.00,CT,Montréal,0.2197,3033,1567,1520,1480,175
4620185.00,CT,Montréal,0.3966,5146,2882,2755,2430,275
4620186.00,CT,Montréal,0.3796,4301,2376,2260,1950,240
4620187.01,CT,Montréal,0.3652,2271,1310,1170,1110,65
4620187.02,CT,Montréal,1.1338,7601,4168,3945,4230,335
4620188.01,CT,Montréal,0.1456,2047,1169,1105,1150,135
4620188.02,CT,Montréal,0.2269,2328,1409,1310,1375,110
4620189.00,CT,Montréal,1.4764,0,0,0,x,x
4620190.01,CT,Montréal,0.4597,3447,1836,1785,1720,130
4620190.02,CT,Montréal,1.043,3430,1891,1850,1045,10
4620191.00,CT,Montréal,1.6789,6166,3070,2970,2965,185
4620192.00,CT,Montréal,0.7858,2810,935,920,1140,55
4620193.00,CT,Montréal,0.2674,1987,945,920,1040,70
4620194.00,CT,Montréal,1.1906,5265,2222,2170,2480,220
4620195.01,CT,Montréal,0.544,3580,1716,1685,1390,100
4620195.02,CT,Montréal,0.6023,5338,2485,2410,2505,220
4620195.03,CT,Montréal,0.9064,5109,2361,2305,2715,215
4620196.00,CT,Montréal,0.3993,3847,2183,2110,1905,160
4620197.00,CT,Montréal,0.5969,4707,2482,2400,2115,130
4620198.00,CT,Montréal,0.6418,4929,2579,2525,2220,270
4620199.00,CT,Montréal,0.2251,2617,1395,1360,1310,185
4620200.00,CT,Montréal,0.3109,4334,2247,2190,2035,190
4620201.00,CT,Montréal,0.9273,6413,3410,3305,2845,245
4620202.00,CT,Montréal,0.6097,4288,2379,2305,1945,200
4620203.00,CT,Montréal,0.2378,2821,1536,1505,1475,90
4620204.00,CT,Montréal,0.2347,2713,1512,1470,1470,100
4620205.00,CT,Montréal,0.177,2183,1202,1180,1275,100
4620206.00,CT,Montréal,0.2328,2669,1460,1420,1475,120
4620207.00,CT,Montréal,0.2564,3511,1845,1775,1740,225
4620208.00,CT,Montréal,0.2005,2578,1372,1310,1185,160
4620209.00,CT,Montréal,0.6635,5967,3071,2905,2725,360
4620210.00,CT,Montréal,0.3266,3250,1950,1840,1790,190
4620211.00,CT,Montréal,0.1767,2300,1301,1215,1295,165
4620212.00,CT,Montréal,0.1949,2475,1393,1330,1410,125
4620213.00,CT,Montréal,0.1926,2674,1381,1345,1375,135
4620214.00,CT,Montréal,0.2556,2639,1392,1335,1555,65
4620215.00,CT,Montréal,0.2314,2150,1215,1125,1110,150
4620216.00,CT,Montréal,0.3215,2299,1300,1185,1180,155
4620217.00,CT,Montréal,0.1607,2723,1395,1360,1410,210
4620218.00,CT,Montréal,0.2818,3137,1599,1550,1625,190
4620219.00,CT,Montréal,0.3155,2396,1095,1030,1080,110
4620220.00,CT,Montréal,0.4079,6046,2451,2395,2165,680
4620221.00,CT,Montréal,0.3252,6773,2834,2705,2415,610
4620222.00,CT,Montréal,0.201,4131,1614,1555,1540,405
4620223.01,CT,Montréal,0.1473,4538,1620,1595,1430,555
4620223.02,CT,Montréal,0.1987,3489,1306,1280,1125,295
4620224.00,CT,Montréal,0.3776,6422,2488,2400,2360,355
4620225.00,CT,Montréal,0.6483,1404,678,635,665,70
4620226.00,CT,Montréal,0.2504,3229,1631,1580,1875,135
4620227.00,CT,Montréal,0.1169,1626,805,790,940,90
4620228.00,CT,Montréal,0.1131,1600,792,775,960,80
4620229.00,CT,Montréal,0.4729,0,0,0,x,x
4620230.00,CT,Montréal,0.1182,1986,995,970,1115,90
4620231.00,CT,Montréal,0.1044,1689,885,870,930,80
4620232.00,CT,Montréal,0.3642,2939,1447,1415,1615,235
4620233.00,CT,Montréal,0.1074,2107,1063,1035,1085,155
4620234.00,CT,Montréal,0.1502,2361,1219,1185,985,210
4620235.00,CT,Montréal,0.1184,1901,1026,995,1110,70
4620236.00,CT,Montréal,0.1077,1739,932,910,795,100
4620237.00,CT,Montréal,0.2222,3262,1599,1565,1785,135
4620238.00,CT,Montréal,0.1653,2356,1270,1220,1230,190
4620239.00,CT,Montréal,0.5455,4684,2597,2515,2125,340
