GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620581.02,CT,Montréal,0.6809,3860,1558,1510,2745
4620582.01,CT,Montréal,1.1782,6948,3069,2970,5180
4620582.02,CT,Montréal,1.2589,6288,2583,2550,4680
4620583.00,CT,Montréal,0.7515,3413,1335,1300,2470
4620584.00,CT,Montréal,1.6371,7436,3262,3155,5480
4620585.01,CT,Montréal,3.3653,1675,647,635,1265
4620585.02,CT,Montréal,5.5763,3665,1594,1535,2775
4620590.01,CT,Anjou,1.4188,5303,2228,2170,3805
4620590.02,CT,Anjou,0.2918,3076,1409,1375,2335
4620591.01,CT,Anjou,0.4862,2549,1096,1055,2040
4620591.02,CT,Anjou,0.6827,3965,1676,1640,3005
4620592.00,CT,Anjou,0.9761,6821,3128,3060,5360
4620593.00,CT,Anjou,1.5047,6739,3552,3440,5830
4620594.01,CT,Anjou,0.3938,2970,1412,1355,2300
4620594.02,CT,Anjou,7.9594,6592,3138,3030,5395
4620600.01,CT,Saint-Léonard,0.7493,3722,1598,1545,3005
4620600.02,CT,Saint-Léonard,0.4117,3452,1753,1620,2830
4620600.03,CT,Saint-Léonard,0.7167,5122,2276,2165,3960
4620601.01,CT,Saint-Léonard,0.3159,3046,1306,1260,2435
4620601.02,CT,Saint-Léonard,0.423,2914,1451,1375,2340
4620602.01,CT,Saint-Léonard,0.5455,2971,1345,1280,2420
4620602.02,CT,Saint-Léonard,0.6203,2838,1197,1150,2205
4620603.01,CT,Saint-Léonard,0.5251,3724,1651,1540,2930
4620603.02,CT,Saint-Léonard,0.619,3548,1478,1410,2850
4620603.03,CT,Saint-Léonard,0.3549,3533,1362,1275,2480
4620604.01,CT,Saint-Léonard,0.9136,3070,1156,1105,2400
4620604.02,CT,Saint-Léonard,0.3222,4301,1749,1655,3270
4620604.03,CT,Saint-Léonard,0.4945,3045,1246,1190,2430
4620604.04,CT,Saint-Léonard,0.7911,3410,1358,1315,2600
4620604.05,CT,Saint-Léonard,0.5991,3540,1505,1420,2715
4620605.01,CT,Saint-Léonard,1.3393,2846,1330,1250,2330
4620605.02,CT,Saint-Léonard,0.5921,1936,739,720,1600
4620605.03,CT,Saint-Léonard,1.035,5473,2418,2270,4220
4620605.04,CT,Saint-Léonard,1.583,4791,1970,1880,3715
4620605.05,CT,Saint-Léonard,0.5666,2322,961,900,1775
4620610.01,CT,Montréal-Nord,0.9483,4632,2088,1990,3440
4620610.02,CT,Montréal-Nord,0.4612,4689,1858,1810,3485
4620610.03,CT,Montréal-Nord,0.7845,5507,2530,2460,4365
4620610.04,CT,Montréal-Nord,0.1928,4235,1867,1810,2950
4620610.05,CT,Montréal-Nord,0.3791,5060,2071,2000,3315
4620610.06,CT,Montréal-Nord,0.3457,2791,1322,1075,1985
4620610.07,CT,Montréal-Nord,0.5512,4600,2362,2310,3440
4620611.01,CT,Montréal-Nord,0.7098,2661,1166,1140,2100
4620611.02,CT,Montréal-Nord,0.5732,5364,2276,2225,3935
4620612.00,CT,Montréal-Nord,0.7551,4180,1781,1745,3075
4620613.00,CT,Montréal-Nord,0.9905,6790,2902,2835,5110
4620614.00,CT,Montréal-Nord,0.4609,3554,1688,1645,2755
4620615.00,CT,Montréal-Nord,0.5634,5170,2214,2145,3820
4620616.00,CT,Montréal-Nord,0.7657,6068,2608,2505,4440
4620617.01,CT,Montréal-Nord,0.892,5313,2235,2195,4095
4620617.02,CT,Montréal-Nord,0.6519,3738,1607,1560,2840
4620618.00,CT,Montréal-Nord,0.4992,3222,1580,1530,2510
4620619.00,CT,Montréal-Nord,0.5494,6026,3530,3390,4870
4620625.01,CT,Laval,5.0244,6119,2062,2030,4155
4620625.02,CT,Laval,1.9663,5746,1841,1815,3895
4620626.00,CT,Laval,10.5538,3697,1390,1355,2675
4620627.00,CT,Laval,5.2384,7001,2882,2815,4825
4620628.01,CT,Laval,1.7584,4397,1905,1860,3405
4620628.02,CT,Laval,0.7836,3608,1549,1510,2765
4620629.00,CT,Laval,1.2119,3313,1316,1295,2640
4620630.01,CT,Laval,1.2192,3633,1297,1285,2790
4620630.02,CT,Laval,2.2057,5253,1904,1865,3970
4620631.00,CT,Laval,24.6168,2496,842,795,1685
4620632.01,CT,Laval,1.4942,5074,1983,1950,3885
4620632.02,CT,Laval,1.9936,4662,1790,1770,3485
4620632.03,CT,Laval,4.1363,5256,2125,2100,3945
4620632.04,CT,Laval,1.9057,7367,2957,2910,5415
4620633.00,CT,Laval,1.6144,5186,2381,2340,4245
4620634.00,CT,Laval,0.8295,2983,1257,1225,2335
4620635.00,CT,Laval,1.0458,5435,2718,2610,4460
4620636.00,CT,Laval,2.231,6184,2621,2565,4575
4620637.01,CT,Laval,1.5742,5198,1878,1855,3895
4620637.02,CT,Laval,1.433,3603,1844,1770,2810
4620638.01,CT,Laval,0.8973,5448,2566,2520,4445
4620638.02,CT,Laval,0.4573,2068,864,845,1665
4620638.03,CT,Laval,0.676,3999,1788,1740,3110
4620638.04,CT,Laval,0.8286,6400,3048,2970,4890
4620639.00,CT,Laval,1.3481,3528,1635,1590,2695
4620640.00,CT,Laval,0.8026,3564,1640,1575,2735
4620641.01,CT,Laval,1.3434,6792,3374,3305,5570
4620641.02,CT,Laval,1.3179,2121,815,805,1655
4620642.00,CT,Laval,9.7038,6898,2979,2920,5250
4620643.00,CT,Laval,8.3088,7095,3724,3580,5930
4620644.00,CT,Laval,1.4686,1109,469,460,855
4620645.00,CT,Laval,1.5501,5239,2872,2790,4285
4620646.01,CT,Laval,0.5181,3511,1453,1430,2495
4620646.02,CT,Laval,0.6071,3393,1405,1350,2610
4620646.03,CT,Laval,0.5083,3353,1693,1675,2790
4620647.01,CT,Laval,0.2477,2952,1933,1850,2810
4620647.02,CT,Laval,1.6169,5950,2671,2565,4710
4620648.00,CT,Laval,1.1282,5125,1894,1860,4015
