GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA01_1384: Total population 20 years and over by highest level of schooling
4620127.01,CT,Montréal,0.4834,5372,3648,3265,4795
4620127.02,CT,Montréal,1.3274,0,9,0,x
4620128.00,CT,Montréal,3.016,3494,2038,1770,3035
4620129.01,CT,Montréal,0.2838,3897,2864,2330,3565
4620129.02,CT,Montréal,0.3628,3879,2965,2375,3510
4620130.00,CT,Montréal,0.1567,3196,2900,2140,2805
4620131.00,CT,Montréal,0.1024,3243,2789,2180,2835
4620132.00,CT,Montréal,0.2696,4711,3799,3115,4065
4620133.00,CT,Montréal,0.1465,2593,1716,1540,2305
4620134.00,CT,Montréal,0.0872,837,563,510,745
4620135.00,CT,Montréal,0.1204,1657,914,875,1450
4620136.00,CT,Montréal,0.1814,2895,1600,1525,2500
4620137.00,CT,Montréal,0.1851,1151,698,615,990
4620138.00,CT,Montréal,0.2822,1962,1150,1025,1825
4620139.00,CT,Montréal,0.2217,3033,1696,1630,2530
4620140.00,CT,Montréal,0.1169,1442,778,750,1220
4620141.00,CT,Montréal,0.1219,1612,903,875,1355
4620142.00,CT,Montréal,0.1067,1654,967,930,1445
4620143.00,CT,Montréal,0.1721,2390,1550,1485,2100
4620144.00,CT,Montréal,0.1878,3343,2094,1985,3020
4620145.00,CT,Montréal,0.4397,0,0,0,x
4620146.00,CT,Montréal,0.1421,2362,1536,1480,2050
4620147.00,CT,Montréal,0.1678,2793,1628,1590,2385
4620148.00,CT,Montréal,0.1447,1245,498,480,780
4620149.00,CT,Montréal,0.1387,3322,1949,1885,2930
4620150.00,CT,Montréal,0.1659,2490,1441,1385,2020
4620151.00,CT,Montréal,0.1157,2112,1151,1120,1730
4620152.00,CT,Montréal,0.1378,1586,902,885,1325
4620153.00,CT,Montréal,0.2781,872,492,460,720
4620154.00,CT,Montréal,0.126,577,353,345,515
4620155.00,CT,Montréal,0.1082,1823,1075,1040,1565
4620156.00,CT,Montréal,0.1393,1985,1166,1130,1720
4620157.00,CT,Montréal,0.1624,2038,1144,1115,1740
4620158.00,CT,Montréal,0.1412,2033,1323,1270,1795
4620159.00,CT,Montréal,0.1237,1926,1050,1020,1640
4620160.00,CT,Montréal,0.1217,1832,1113,1085,1580
4620161.00,CT,Montréal,0.1389,1927,1008,980,1590
4620162.00,CT,Montréal,0.0954,1638,947,910,1385
4620163.00,CT,Montréal,0.2023,3034,1509,1450,2600
4620164.00,CT,Montréal,0.0697,1655,1033,1000,1440
4620165.00,CT,Montréal,0.1482,2439,1208,1170,1920
4620166.00,CT,Montréal,0.232,416,226,215,360
4620167.00,CT,Montréal,0.2039,2452,1238,1185,1985
4620168.00,CT,Montréal,0.1685,2496,1084,1045,1855
4620169.00,CT,Montréal,0.1468,2303,1046,1025,1945
4620170.00,CT,Montréal,0.1559,2345,1119,1090,1860
4620171.00,CT,Montréal,0.4811,4336,2348,2295,3615
4620172.00,CT,Montréal,0.2013,1947,1318,1275,1820
4620173.00,CT,Montréal,0.1857,1580,993,945,1395
4620174.00,CT,Montréal,0.2291,1586,966,945,1445
4620175.00,CT,Montréal,0.1094,1659,962,945,1395
4620176.00,CT,Montréal,0.1228,1564,941,915,1365
4620177.00,CT,Montréal,0.0991,1324,750,720,1135
4620178.00,CT,Montréal,0.2806,2364,1431,1410,2060
4620179.00,CT,Montréal,0.4946,3667,2183,2040,3035
4620180.00,CT,Montréal,0.2635,3499,1942,1830,2805
4620181.00,CT,Montréal,0.3306,3688,2070,1905,2920
4620182.00,CT,Montréal,0.1397,2141,1183,1105,1735
4620183.00,CT,Montréal,0.1322,2294,1232,1200,1895
4620184.00,CT,Montréal,0.2197,3033,1567,1520,2445
4620185.00,CT,Montréal,0.3966,5146,2882,2755,4125
4620186.00,CT,Montréal,0.3796,4301,2376,2260,3500
4620187.01,CT,Montréal,0.3652,2271,1310,1170,1740
4620187.02,CT,Montréal,1.1338,7601,4168,3945,6295
4620188.01,CT,Montréal,0.1456,2047,1169,1105,1705
4620188.02,CT,Montréal,0.2269,2328,1409,1310,2010
4620189.00,CT,Montréal,1.4764,0,0,0,x
4620190.01,CT,Montréal,0.4597,3447,1836,1785,2930
4620190.02,CT,Montréal,1.043,3430,1891,1850,3020
4620191.00,CT,Montréal,1.6789,6166,3070,2970,5000
4620192.00,CT,Montréal,0.7858,2810,935,920,1680
4620193.00,CT,Montréal,0.2674,1987,945,920,1635
4620194.00,CT,Montréal,1.1906,5265,2222,2170,3785
4620195.01,CT,Montréal,0.544,3580,1716,1685,2725
4620195.02,CT,Montréal,0.6023,5338,2485,2410,4250
4620195.03,CT,Montréal,0.9064,5109,2361,2305,4260
4620196.00,CT,Montréal,0.3993,3847,2183,2110,3130
4620197.00,CT,Montréal,0.5969,4707,2482,2400,3765
4620198.00,CT,Montréal,0.6418,4929,2579,2525,4100
4620199.00,CT,Montréal,0.2251,2617,1395,1360,2140
4620200.00,CT,Montréal,0.3109,4334,2247,2190,3455
4620201.00,CT,Montréal,0.9273,6413,3410,3305,5075
4620202.00,CT,Montréal,0.6097,4288,2379,2305,3470
4620203.00,CT,Montréal,0.2378,2821,1536,1505,2340
4620204.00,CT,Montréal,0.2347,2713,1512,1470,2255
4620205.00,CT,Montréal,0.177,2183,1202,1180,1805
4620206.00,CT,Montréal,0.2328,2669,1460,1420,2215
4620207.00,CT,Montréal,0.2564,3511,1845,1775,2805
4620208.00,CT,Montréal,0.2005,2578,1372,1310,2055
4620209.00,CT,Montréal,0.6635,5967,3071,2905,4665
4620210.00,CT,Montréal,0.3266,3250,1950,1840,2750
4620211.00,CT,Montréal,0.1767,2300,1301,1215,1895
4620212.00,CT,Montréal,0.1949,2475,1393,1330,2065
4620213.00,CT,Montréal,0.1926,2674,1381,1345,2105
4620214.00,CT,Montréal,0.2556,2639,1392,1335,2275
4620215.00,CT,Montréal,0.2314,2150,1215,1125,1735
4620216.00,CT,Montréal,0.3215,2299,1300,1185,1900
4620217.00,CT,Montréal,0.1607,2723,1395,1360,2175
4620218.00,CT,Montréal,0.2818,3137,1599,1550,2540
4620219.00,CT,Montréal,0.3155,2396,1095,1030,1795
4620220.00,CT,Montréal,0.4079,6046,2451,2395,4530
4620221.00,CT,Montréal,0.3252,6773,2834,2705,5190
4620222.00,CT,Montréal,0.201,4131,1614,1555,3110
4620223.01,CT,Montréal,0.1473,4538,1620,1595,3245
4620223.02,CT,Montréal,0.1987,3489,1306,1280,2630
4620224.00,CT,Montréal,0.3776,6422,2488,2400,4690
4620225.00,CT,Montréal,0.6483,1404,678,635,1195
4620226.00,CT,Montréal,0.2504,3229,1631,1580,2660
4620227.00,CT,Montréal,0.1169,1626,805,790,1330
4620228.00,CT,Montréal,0.1131,1600,792,775,1315
4620229.00,CT,Montréal,0.4729,0,0,0,x
4620230.00,CT,Montréal,0.1182,1986,995,970,1645
4620231.00,CT,Montréal,0.1044,1689,885,870,1375
4620232.00,CT,Montréal,0.3642,2939,1447,1415,2405
4620233.00,CT,Montréal,0.1074,2107,1063,1035,1765
4620234.00,CT,Montréal,0.1502,2361,1219,1185,1925
4620235.00,CT,Montréal,0.1184,1901,1026,995,1625
4620236.00,CT,Montréal,0.1077,1739,932,910,1440
4620237.00,CT,Montréal,0.2222,3262,1599,1565,2675
4620238.00,CT,Montréal,0.1653,2356,1270,1220,1955
4620239.00,CT,Montréal,0.5455,4684,2597,2515,3840
4620240.00,CT,Montréal,0.3041,2993,1464,1435,2340
4620241.00,CT,Montréal,0.2143,3043,1408,1360,2280
4620242.00,CT,Montréal,0.3722,6611,3144,3045,5220
4620243.00,CT,Montréal,0.2538,4266,1835,1800,3160
4620244.00,CT,Montréal,0.1766,2195,1116,1090,1745
4620245.00,CT,Montréal,0.2201,2717,1505,1455,2220
4620247.00,CT,Montréal,0.1943,2256,1197,1175,1870
4620249.00,CT,Montréal,0.5363,4394,2192,2115,3550
4620250.00,CT,Montréal,0.4474,3955,1904,1850,3210
4620251.01,CT,Montréal,0.4645,3666,1554,1525,2775
4620251.02,CT,Montréal,0.2509,2714,1206,1180,2055
4620252.00,CT,Montréal,0.3281,5097,2304,2240,3870
4620253.00,CT,Montréal,0.4544,2815,1177,1140,2115
4620254.00,CT,Montréal,0.6204,3888,1822,1700,2980
4620256.00,CT,Montréal,1.8575,3754,1461,1355,2645
4620257.00,CT,Montréal,1.33,4545,1700,1595,3205
4620258.00,CT,Montréal,0.401,4920,1779,1680,3115
4620259.00,CT,Montréal,0.3558,6030,2416,2225,4125
4620260.00,CT,Montréal,0.547,2238,870,830,1610
4620261.00,CT,Montréal,0.627,2713,1110,1020,1960
4620262.00,CT,Montréal,0.7416,4610,1707,1605,3225
4620263.00,CT,Montréal,0.7551,4039,1662,1630,3035
4620264.01,CT,Montréal,1.2151,5586,2533,2455,4265
4620264.02,CT,Montréal,0.8903,4398,2255,2210,3560
4620265.00,CT,Montréal,0.4788,4485,2314,2180,3615
4620266.00,CT,Montréal,0.761,3296,1734,1680,2615
4620267.00,CT,Montréal,1.1017,6214,2575,2480,4800
4620268.01,CT,Montréal,0.5766,5540,2808,2750,4485
4620268.02,CT,Montréal,0.333,4004,1676,1595,2970
4620268.03,CT,Montréal,1.2981,0,1,0,x
4620269.00,CT,Montréal,0.7742,4083,2005,1950,3060
4620270.00,CT,Montréal,0.6779,4124,2196,2130,3425
4620271.00,CT,Montréal,0.4791,3126,1509,1465,2495
4620272.00,CT,Montréal,0.4994,3580,1849,1805,2905
4620273.00,CT,Montréal,0.5782,4304,2102,2040,3480
4620274.00,CT,Montréal,0.48,2995,1406,1365,2430
4620275.00,CT,Montréal,0.6162,4071,2095,2045,3260
4620276.00,CT,Montréal,0.8755,4863,2516,2455,3860
4620277.00,CT,Montréal,0.549,4290,1994,1950,2970
4620278.00,CT,Montréal,0.5908,4392,2199,2140,3485
4620279.00,CT,Montréal,0.9364,4239,2171,2105,3435
4620280.00,CT,Montréal,0.6008,4344,2179,2110,3355
4620281.00,CT,Montréal,1.0795,3595,1601,1555,2505
4620282.00,CT,Montréal,1.3161,6283,2723,2660,4845
4620283.01,CT,Montréal,0.6064,3677,1386,1355,3030
4620283.02,CT,Montréal,0.4764,2925,1232,1200,2400
4620284.00,CT,Montréal,0.5842,3375,1567,1535,2835
4620285.00,CT,Montréal,1.4982,6745,2393,2295,4725
4620286.00,CT,Montréal,0.7961,5059,2105,2005,3670
4620287.01,CT,Montréal,0.5379,5928,3000,2845,4470
4620287.02,CT,Montréal,1.1134,4212,1650,1555,3225
4620288.00,CT,Montréal,1.7642,1412,604,595,1105
4620290.01,CT,Montréal,1.1871,2005,779,750,1560
4620290.02,CT,Montréal,1.7237,5915,2039,1985,4305
4620290.03,CT,Montréal,0.6369,4052,1614,1575,3010
4620290.04,CT,Montréal,2.8315,6369,2149,2110,4435
4620290.05,CT,Montréal,2.0959,5943,2612,2580,4305
4620290.06,CT,Montréal,0.9233,6260,2022,2005,4465
4620290.07,CT,Montréal,0.5907,3275,1168,1150,2305
4620290.08,CT,Montréal,1.0994,4361,1474,1455,3155
4620290.09,CT,Montréal,0.9735,5238,1732,1710,3740
4620291.01,CT,Montréal,0.9752,3117,1001,980,2115
4620291.02,CT,Montréal,10.148,6404,1932,1900,3970
4620300.00,CT,Verdun,0.5199,2306,1254,1150,1740
4620301.00,CT,Verdun,0.4181,4709,2622,2365,3825
4620302.00,CT,Verdun,0.2066,2829,1572,1420,2200
4620303.00,CT,Verdun,0.2708,2047,1178,1035,1595
4620304.00,CT,Verdun,0.2849,2679,1590,1445,2135
4620305.00,CT,Verdun,0.3523,3715,2145,1945,3065
4620306.00,CT,Verdun,0.2241,3062,1630,1480,2355
4620307.00,CT,Verdun,0.1794,3405,1712,1550,2560
4620308.00,CT,Verdun,0.1776,2692,1422,1275,2080
4620309.00,CT,Verdun,0.2098,1256,622,595,1010
4620310.00,CT,Verdun,0.4674,3344,1708,1585,2685
4620311.00,CT,Verdun,0.3505,3891,2103,1880,2915
4620312.00,CT,Verdun,0.3083,3215,1706,1620,2555
4620313.00,CT,Verdun,0.4107,3307,1564,1495,2580
4620314.00,CT,Verdun,0.2762,2567,1254,1205,2025
4620315.00,CT,Verdun,0.8286,160,0,0,
4620316.00,CT,Verdun,0.6031,2224,851,835,1585
4620317.01,CT,Verdun,2.4798,7488,4200,3825,6045
4620317.02,CT,Verdun,1.3157,5668,3197,2935,4795
4620320.00,CT,LaSalle,0.699,4591,2212,2145,3650
4620321.00,CT,LaSalle,0.9756,3004,1441,1395,2355
4620322.02,CT,LaSalle,0.8043,3789,1708,1665,2980
4620322.03,CT,LaSalle,0.7232,4704,2449,2400,3955
4620322.04,CT,LaSalle,0.4593,3048,1437,1410,2505
4620323.00,CT,LaSalle,0.6808,3149,1372,1335,2195
4620324.01,CT,LaSalle,0.7046,4543,2046,1980,3495
4620324.02,CT,LaSalle,0.663,2935,1196,1170,2210
4620325.01,CT,LaSalle,0.3902,3845,1523,1455,2870
4620325.02,CT,LaSalle,1.0005,6771,3014,2900,5205
4620325.03,CT,LaSalle,0.4777,3612,1497,1450,2790
4620325.04,CT,LaSalle,1.7289,8249,3821,3635,6790
4620326.01,CT,LaSalle,2.5868,2956,1172,1165,2270
4620326.02,CT,LaSalle,1.0911,3602,1683,1645,2800
4620326.03,CT,LaSalle,1.3415,4981,1957,1915,3785
4620327.00,CT,LaSalle,1.0984,4887,2193,2135,3680
4620328.00,CT,LaSalle,0.4478,1682,859,710,1195
4620329.00,CT,LaSalle,0.6833,3635,1735,1685,2780
4620330.00,CT,Lachine,2.0659,4604,2265,2100,3445
4620340.00,CT,Montréal-Ouest,1.4072,5172,1901,1855,3655
4620350.00,CT,Westmount,0.5555,2275,1341,1170,1830
4620351.00,CT,Westmount,0.4603,5068,3087,2745,4330
4620352.00,CT,Westmount,0.4867,2681,1314,1160,1965
4620353.00,CT,Westmount,0.407,2987,1231,1165,2180
4620354.00,CT,Westmount,0.814,3231,1041,1005,2255
4620355.00,CT,Westmount,0.3073,1437,636,595,1150
4620356.00,CT,Westmount,0.996,2048,683,615,1395
4620360.00,CT,Outremont,1.4336,2242,650,615,1650
4620361.00,CT,Outremont,0.1261,1519,830,795,1210
4620362.00,CT,Outremont,0.5335,2567,904,870,1760
4620363.00,CT,Outremont,0.373,4671,2050,1985,3370
4620364.00,CT,Outremont,0.2379,2553,1036,1010,1770
4620365.00,CT,Outremont,0.2488,2763,1288,1260,2040
4620366.00,CT,Outremont,0.3435,2579,1085,1070,1900
4620367.00,CT,Outremont,0.5666,4039,2044,1960,3175
4620370.00,CT,Hampstead,1.7901,6974,2632,2575,5080
4620380.00,CT,Côte-Saint-Luc,0.7617,4037,1869,1830,3240
4620381.00,CT,Côte-Saint-Luc,0.5887,5635,2659,2530,4265
4620382.01,CT,Côte-Saint-Luc,0.5785,3637,1673,1645,2935
4620382.02,CT,Côte-Saint-Luc,1.5627,4384,1578,1555,3300
4620383.01,CT,Côte-Saint-Luc,1.7278,3427,1094,1070,2080
4620383.02,CT,Côte-Saint-Luc,1.5015,6872,3383,3295,5655
4620385.00,CT,Côte-Saint-Luc,0.0382,1442,1000,970,1370
4620390.00,CT,Lachine,1.0637,1274,670,630,1055
4620391.00,CT,Lachine,0.3284,1826,890,845,1380
4620392.00,CT,Lachine,0.4578,1284,614,590,950
4620393.00,CT,Lachine,1.0425,5104,2466,2380,3870
4620394.00,CT,Lachine,1.3501,3611,1787,1705,2835
4620395.01,CT,Lachine,7.6187,2624,1172,1130,1850
4620395.02,CT,Lachine,0.6891,6270,2836,2745,4600
4620395.03,CT,Lachine,0.5992,4108,2236,2170,3390
4620396.00,CT,Lachine,1.4744,5673,2650,2570,4425
4620397.00,CT,Lachine,1.1821,3844,1432,1425,2825
4620400.00,CT,Mont-Royal,1.3817,4557,1770,1725,3385
4620401.00,CT,Mont-Royal,0.9707,2998,1306,1270,2295
4620402.00,CT,Mont-Royal,2.5432,1183,467,460,885
4620403.00,CT,Mont-Royal,1.3285,4999,1917,1860,3680
4620404.00,CT,Mont-Royal,1.4373,4945,1807,1750,3515
4620410.01,CT,Saint-Laurent,0.8603,5045,2117,2035,3950
4620410.02,CT,Saint-Laurent,0.7695,4612,2542,2420,3985
4620410.03,CT,Saint-Laurent,2.1844,1761,608,590,1245
4620412.00,CT,Saint-Laurent,1.4641,5153,2027,1925,3945
4620413.00,CT,Saint-Laurent,1.5819,7435,2737,2620,5490
4620415.01,CT,Saint-Laurent,28.8806,3578,1492,1445,2710
4620415.03,CT,Saint-Laurent,0.2749,3983,1981,1885,3395
4620415.04,CT,Saint-Laurent,0.4726,4444,2124,2035,3620
4620416.01,CT,Saint-Laurent,0.8481,4262,1416,1375,3320
4620416.02,CT,Saint-Laurent,1.0618,2985,1167,1115,2340
4620417.01,CT,Saint-Laurent,0.6701,3600,1528,1480,2785
4620417.02,CT,Saint-Laurent,0.3771,3127,951,895,1920
4620418.00,CT,Saint-Laurent,1.295,5000,2266,2130,3825
4620419.00,CT,Saint-Laurent,0.379,4715,1816,1730,3250
4620420.00,CT,Saint-Laurent,0.8256,4670,1784,1715,3395
4620421.01,CT,Saint-Laurent,0.3892,6974,2986,2845,4865
4620421.02,CT,Saint-Laurent,0.5509,6047,2663,2515,4600
4620430.00,CT,Dorval,1.9817,5449,2759,2670,4360
4620431.00,CT,Dorval,2.2097,5466,2459,2375,4265
4620432.00,CT,Dorval,1.3071,3267,1258,1235,2425
4620433.00,CT,Saint-Laurent,15.4188,3524,1381,1360,2610
4620440.00,CT,L'Île-Dorval,0.1803,0,58,0,x
