GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,"v_CA01_1670: Owner households in non-farm, non-reserve private dwellings","v_CA01_1666: Tenant households in non-farm, non-reserve private dwellings"
4620267.00,CT,Montréal,1.1017,6214,2575,2480,935,1550
4620268.01,CT,Montréal,0.5766,5540,2808,2750,1255,1475
4620268.02,CT,Montréal,0.333,4004,1676,1595,440,1110
4620268.03,CT,Montréal,1.2981,0,1,0,x,x
4620269.00,CT,Montréal,0.7742,4083,2005,1950,400,1535
4620270.00,CT,Montréal,0.6779,4124,2196,2130,710,1405
4620271.00,CT,Montréal,0.4791,3126,1509,1465,700,770
4620272.00,CT,Montréal,0.4994,3580,1849,1805,665,1140
4620273.00,CT,Montréal,0.5782,4304,2102,2040,755,1285
4620274.00,CT,Montréal,0.48,2995,1406,1365,475,890
4620275.00,CT,Montréal,0.6162,4071,2095,2045,645,1395
4620276.00,CT,Montréal,0.8755,4863,2516,2455,735,1715
4620277.00,CT,Montréal,0.549,4290,1994,1950,430,1510
4620278.00,CT,Montréal,0.5908,4392,2199,2140,715,1420
4620279.00,CT,Montréal,0.9364,4239,2171,2105,705,1380
4620280.00,CT,Montréal,0.6008,4344,2179,2110,815,1275
4620281.00,CT,Montréal,1.0795,3595,1601,1555,715,845
4620282.00,CT,Montréal,1.3161,6283,2723,2660,1080,1560
4620283.01,CT,Montréal,0.6064,3677,1386,1355,760,600
4620283.02,CT,Montréal,0.4764,2925,1232,1200,555,640
4620284.00,CT,Montréal,0.5842,3375,1567,1535,665,865
4620285.00,CT,Montréal,1.4982,6745,2393,2295,1020,1240
4620286.00,CT,Montréal,0.7961,5059,2105,2005,690,1300
4620287.01,CT,Montréal,0.5379,5928,3000,2845,385,2410
4620287.02,CT,Montréal,1.1134,4212,1650,1555,835,720
4620288.00,CT,Montréal,1.7642,1412,604,595,335,250
4620290.01,CT,Montréal,1.1871,2005,779,750,465,290
4620290.02,CT,Montréal,1.7237,5915,2039,1985,1275,715
4620290.03,CT,Montréal,0.6369,4052,1614,1575,885,690
4620290.04,CT,Montréal,2.8315,6369,2149,2110,1505,605
4620290.05,CT,Montréal,2.0959,5943,2612,2580,1105,1475
4620290.06,CT,Montréal,0.9233,6260,2022,2005,1300,710
4620290.07,CT,Montréal,0.5907,3275,1168,1150,650,510
4620290.08,CT,Montréal,1.0994,4361,1474,1455,1145,310
4620290.09,CT,Montréal,0.9735,5238,1732,1710,1280,435
4620291.01,CT,Montréal,0.9752,3117,1001,980,780,205
4620291.02,CT,Montréal,10.148,6404,1932,1900,1650,245
